S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,Bid Document,Technical Bid,,1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,Restoration of flood damaged embankment at different reaches on the L/B of river Kushiyara.,Restoration of flood damaged embankment at different reaches on the L/B of river Kushiyara.,Please refer Tender documents. ,NA ,"75,69,987",Civil Works,NA ,Tender,180.0,180.0,SRIBHUMI,781034.0,NA ,NA ,NA ,Guwahati,No ,No,"1,51,400",Yes,percentage,2.0%,Nil,Nil,"2,000",Nil,Nil,No,31-Dec-2025 02:00 PM,13-Jan-2026 03:00 PM,31-Dec-2025 02:00 PM,13-Jan-2026 02:00 PM,NA ,NA ,06-Jan-2026 10:00 AM,13-Jan-2026 02:00 PM,17-Feb-2026 12:35 PM,"Chief Engineer, Water Resources Department, Assam","O/O Chief Engineer Water Resources Department, Basistha, Guwahati 29",1.0,SBI Bank,Department of Water Resources||Chief Engineer - DoWR,SRIBHUMI/2025-26/PDNA/WORK/I,2025_DoWR_49788_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,AOC,Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,06-Jul-2026 07:04 PM,,BOQ Comparative Chart,06-Jul-2026,"INR 7,562,927.32",180.0,Jayanta Kumar Barman,06-Jul-2026 07:14 PM,FWO_sribhumi_lb_kushiyara.pdf (975.00 KB),Restoration of flood damaged embankment at different reaches on the L/B of river Kushiyara.,1.0,292785.0,PINTU DEB,INR,"7,562,927.32",Department of Water Resources||Chief Engineer - DoWR,2025_DoWR_49788_1,SRIBHUMI/2025-26/PDNA/WORK/I,Restoration of flood damaged embankment at different reaches on the L/B of river Kushiyara.,Director Design,Internal,,Jayanta Kumar Barman,06-Jul-2026 07:10 PM,finsummary_79138.pdf (248.24 KB),Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,17-Feb-2026 12:22 PM,,Director Design,Internal,,Jayanta Kumar Barman,17-Feb-2026 12:31 PM,17-Feb-2026 12:35 PM,techsummary_79138.pdf (134.00 KB),1,292787,MOINUL HOQUE,13-Jan-2026 02:52 AM,Rejected-AOC,Not Qualified for AOC,06-Jul-2026 07:15 PM,AOC
,,,,2,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,292785,PINTU DEB,13-Jan-2026 03:28 AM,Accepted-AOC,AWARDED,06-Jul-2026 07:15 PM,AOC
