Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
04-Nov-2025 06:55 PM,15-Nov-2025 03:00 PM,04-Nov-2025 06:55 PM,15-Nov-2025 02:00 PM,NA ,NA ,08-Nov-2025 10:00 AM,15-Nov-2025 02:00 PM,17-Nov-2025 03:55 PM,"2,73,991",Yes,percentage,2.0%,Nil,Nil,M and R to protect Dikhow bund R/B from Monipuribasti to A. T. Road at Cherekapar for 2024-25.,M and R to protect Dikhow bund R/B from Monipuribasti to A. T. Road at Cherekapar for 2024-25.,Please refer Tender documents. ,NA ,"1,36,99,557",Ceramics,NA ,Tender,180.0,120.0,SIVASAGAR,785640.0,NA ,NA ,NA ,Guwahati,No ,No,Department of Water Resources||Chief Engineer - DoWR,SIVASAGAR/2024-25/M and R/I,2025_DoWR_42720_3,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Technical Documents,"3,000",Nil,Nil,No,1.0,SBI Bank,"Chief Engineer, W.R. Department","O/O Chief Engineer Water Resources Department, Basistha, Guwahati 29",AOC,Director Design,Internal,,Jayanta Kumar Barman,17-Nov-2025 03:54 PM,17-Nov-2025 03:55 PM,techsummary_76984.pdf (135.67 KB),1,286098,MANAB JYOTI KALITA,13-Nov-2025 04:28 PM,Rejected-AOC,Not Qualified for AOC,10-Jul-2026 05:13 PM,Finance,All bids are opened for financial Evaluation.,Jayanta Kumar Barman,15-Feb-2026 03:32 PM,,BOQ Comparative Chart,10-Jul-2026,"INR 13,672,962.23",120.0,Jayanta Kumar Barman,10-Jul-2026 05:13 PM,FWO_sivasagar_Cherekapar.pdf (2877.00 KB),M and R to protect Dikhow bund R/B from Monipuribasti to A. T. Road at Cherekapar for 2024-25.,1.0,286100.0,M/s KALITA CONSTRUCTION,INR,"13,672,962.23",Department of Water Resources||Chief Engineer - DoWR,2025_DoWR_42720_3,SIVASAGAR/2024-25/M and R/I,M and R to protect Dikhow bund R/B from Monipuribasti to A. T. Road at Cherekapar for 2024-25.,Director Design,Internal,,Jayanta Kumar Barman,10-Jul-2026 05:09 PM,finsummary_76984.pdf (711.83 KB),Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,17-Nov-2025 03:46 PM,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Bid,,,,,,,,,AOC,,,,,,,,2,286100,M/s KALITA CONSTRUCTION,13-Nov-2025 04:52 PM,Accepted-AOC,AWARDED,10-Jul-2026 05:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
