Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Public Works Roads Department,CE/Commn/192/PDNA/2025-26/02,2025_PWD_49573_23,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Extension Time Schedule,Date,,"3,00,000",Yes,fixed,,Nil,Nil,"Chief Engineer,PWRD","O/o the Chief Engineer PWRD,Assam,Guwahati-03",1.0,SBI Bank,PDNA/ Dima Hasao/05,Recovery and Reconstruction of T05 to Hokai HC Road under NDRF(PDNA-2022) for the year 2025-26.,Please refer Tender documents. ,NA ,"1,50,00,000",Civil Works – Roads,NA ,Tender,180.0,60.0,Dima Hasao,788819.0,"O/o the Chief Engineer PWRD,Assam,Guwahati-03 ","O/o the Chief Engineer PWRD,Assam,Guwahati-03 ",26-Dec-2025 04:00 PM ,"O/o the Chief Engineer PWRD,Assam,Guwahati-03",No ,No,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Details,"3,000",Nil,Nil,No,23-Dec-2025 04:00 PM,09-Jan-2026 02:30 PM,23-Dec-2025 04:00 PM,09-Jan-2026 02:00 PM,23-Dec-2025 04:00 PM ,09-Jan-2026 12:00 PM ,23-Dec-2025 04:00 PM,09-Jan-2026 02:00 PM,29-Jan-2026 01:50 PM,AOC,S.Shyam,Internal,,Sayanika Mochahary,29-Jan-2026 01:48 PM,29-Jan-2026 01:50 PM,techsummary_78684.pdf (506.67 KB),1.0,291190.0,BORDIP LANGTHASA,05-Jan-2026 12:55 PM,Rejected-AOC,Not Awarded,03-Jul-2026 05:14 PM,1.0,291002.0,Jimburaj Jidung,INR,"13,200,002",03-Jul-2026,"INR 13,200,002",60.0,Pranita Ray,03-Jul-2026 05:13 PM,AOCDimaHasao05.pdf (910.00 KB),Finance,Fin opn,Pranita Ray,29-Jan-2026 03:43 PM,,BOQ Comparative Chart,Public Works Roads Department,2025_PWD_49573_23,CE/Commn/192/PDNA/2025-26/02,PDNA/ Dima Hasao/05,"Chief Engineer,PWD(R)",Internal,,Pranita Ray,03-Jul-2026 04:45 PM,finsummary_78684.pdf (909.69 KB),Technical,Technical Open,Sayanika Mochahary,29-Jan-2026 01:45 PM,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,AOC,,,,,,,,2.0,291002.0,Jimburaj Jidung,03-Jan-2026 03:24 PM,Accepted-AOC,Awarded,03-Jul-2026 05:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,AOC,,,,,,,,3.0,291166.0,NIRANJAN HOJAI,05-Jan-2026 11:51 AM,Rejected-AOC,Not Awarded,03-Jul-2026 05:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
