Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,SBD,1.0,SBI Bank,21-Feb-2026 09:00 AM,07-Mar-2026 05:00 PM,21-Feb-2026 09:00 AM,07-Mar-2026 02:00 PM,21-Feb-2026 09:00 AM ,27-Feb-2026 11:00 AM ,21-Feb-2026 09:00 AM,07-Mar-2026 02:00 PM,09-Mar-2026 06:25 PM,Chief Engineer EAP PWRD,Chief Engineer EAP PWRD Fatashil Ambari Guwahati 25,Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders||PWD (R) - ARRBP,CE/EAP/ARRBP/BR/Z4/2025/T04,2026_PWRDW_51391_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"7,19,360",Yes,fixed,,Nil,Nil,Dima Hasao 07/Construction of Bridge in Dima Hasao District i) Br No. 4/1 on Daotuhaja village Approach Road,Dima Hasao 07/Construction of Bridge in Dima Hasao District i) Br No. 4/1 on Daotuhaja village Approach Road,Please refer Tender Documents ,NA ,"3,59,68,000",Civil Works - Bridges,NA ,Tender,90.0,720.0,Dima Hasao District,788832.0,"O/O The Chief Engineer (EAP),PWRD ",Chief Engineer EAP PWRD Fatashil Ambari Guwahati 25 ,27-Feb-2026 11:00 AM ,"O/O The Chief Engineer (EAP),PWRD,Fatasil Ambari,G",No ,No,"7,000",Nil,Nil,No,AOC,"Chief Engineer,EAP",Internal,,DIPAK KR. NATH,09-Mar-2026 06:18 PM,09-Mar-2026 06:25 PM,techsummary_81625.pdf (189.86 KB),1.0,300100.0,SRI MONA KEMPRAI,INR,"37,762,343",Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders||PWD (R) - ARRBP,2026_PWRDW_51391_8,CE/EAP/ARRBP/BR/Z4/2025/T04,Dima Hasao 07/Construction of Bridge in Dima Hasao District i) Br No. 4/1 on Daotuhaja village Approach Road,Technical,Technical Bid has been opened,DIPAK KR. NATH,09-Mar-2026 06:11 PM,technical_81625.pdf,1.0,300100.0,SRI MONA KEMPRAI,07-Mar-2026 02:23 AM,Accepted-AOC,WORK ORDER AWARDED,18-Jul-2026 04:10 PM,Finance,PASSED,DIPAK KR. NATH,18-Jul-2026 03:47 PM,,BOQ Comparative Chart,Chief Engineer EAP,Internal,,DIPAK KR. NATH,18-Jul-2026 04:00 PM,finsummary_81625.pdf (645.59 KB),18-Jul-2026,"INR 37,762,343",720.0,DIPAK KR. NATH,18-Jul-2026 04:09 PM,letterofaward.pdf (18.00 KB),WORK ORDER,AOC
,,.pdf,Letter of Bid Technical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Tender Fee and EMD Fee Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,ESMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.pdf,Letter of Bid (Financial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
