Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Department of Water Resources||Chief Engineer - DoWR,2025_DoWR_47560_1,BISWANATH/2025-26/RIDF/II,Construction of Right Bank Embankment of river Solengi from Rajgarh Road to Langdangpara.,Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,09-Oct-2025 03:45 PM,,Director Design,Internal,,Jayanta Kumar Barman,18-Jul-2026 01:07 PM,finsummary_75878.pdf (774.12 KB),Finance,All bids are opened for financial Evaluation.,Jayanta Kumar Barman,15-Feb-2026 03:21 PM,,BOQ Comparative Chart,18-Jul-2026,"INR 29,740,517.55",365.0,Jayanta Kumar Barman,18-Jul-2026 01:22 PM,FWO_Biswanath_Rajgarh_Langdangpara.pdf (3452.00 KB),Construction of Right Bank Embankment of river Solengi from Rajgarh Road to Langdangpara.,1.0,283562.0,AJAY AGARWAL,INR,"29,740,517.55",Director Design,Internal,,Jayanta Kumar Barman,31-Oct-2025 04:42 PM,31-Oct-2025 04:45 PM,techsummary_75878.pdf (130.53 KB),1,283562,AJAY AGARWAL,07-Oct-2025 09:43 AM,Accepted-AOC,AWARDED,18-Jul-2026 01:23 PM,AOC,17-Sep-2025 09:00 AM,07-Oct-2025 03:00 PM,17-Sep-2025 09:00 AM,07-Oct-2025 02:00 PM,NA ,NA ,23-Sep-2025 10:00 AM,07-Oct-2025 02:00 PM,31-Oct-2025 04:45 PM,"6,000",Nil,Nil,No,1.0,SBI Bank,Construction of Right Bank Embankment of river Solengi from Rajgarh Road to Langdangpara.,Construction of Right Bank Embankment of river Solengi from Rajgarh Road to Langdangpara.,Please refer Tender documents. ,NA ,"2,97,60,613",Civil Works,NA ,Tender,180.0,365.0,BISWANATH,784176.0,NA ,NA ,NA ,Guwahati,No ,No,"5,95,212",Yes,percentage,2.0%,Nil,Nil,"Chief Engineer, WRD, Assam","O/O Chief Engineer Water Resources Department, Basistha, Guwahati 29",Department of Water Resources||Chief Engineer - DoWR,BISWANATH/2025-26/RIDF/II,2025_DoWR_47560_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,283564,KHEMSA TRADERS AND DEVELOPERS,06-Oct-2025 07:40 PM,Rejected-AOC,Not Qualified for AOC,18-Jul-2026 01:23 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL BID,AOC
