Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
07-Jul-2026,"INR 4,982,555",90.0,Jyoti Sangeeta Dutta,07-Jul-2026 11:05 AM,IBBLLoA.pdf (9849.00 KB),"CGM(D and S),APDCL,CAR",Internal,,Jyoti Sangeeta Dutta,07-Jul-2026 11:00 AM,finsummary_77669.pdf (586.94 KB),1,289286,MADHAB ACHARJEE,13-Dec-2025 04:54 PM,Accepted-AOC,L1 Bidder,07-Jul-2026 11:05 AM,Technical,Technical bid opened,Gayatry Dutta Bora,16-Dec-2025 12:17 PM,,Finance,Finance bid opened,Gayatry Dutta Bora,09-Jan-2026 03:11 PM,,BOQ Comparative Chart,Assam Power Distribution Company Ltd||CGM(D) Central Assam Region - APDCL,2025_APDCL_48938_1,CGM (D)/APDCL/CAR/33 KV Line Reconductoring/ Kalain ESD/T-300/ 2025-26/06,Reconductoring of A. 33 KV Kalain Feeder of around 0.81 Ckt KM from ACSR Racoon to ACSR Wolf B. 33 KV IBBL Feeder of around 1.38 Ckt KM form AAAC Racoon to ACSR Wolf Under Kalain ESD of Cachar Electrical Circle on turnkey mode,1.0,289286.0,MADHAB ACHARJEE,INR,"4,982,555","Managing Director, APDCL",Internal,,Gayatry Dutta Bora,09-Jan-2026 02:06 PM,09-Jan-2026 03:00 PM,techsummary_77669.pdf (508.13 KB),AOC,Assam Power Distribution Company Ltd||CGM(D) Central Assam Region - APDCL,CGM (D)/APDCL/CAR/33 KV Line Reconductoring/ Kalain ESD/T-300/ 2025-26/06,2025_APDCL_48938_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,Reconductoring of A. 33 KV Kalain Feeder of around 0.81 Ckt KM from ACSR Racoon to ACSR Wolf B. 33 KV IBBL Feeder of around 1.38 Ckt KM form AAAC Racoon to ACSR Wolf Under Kalain ESD of Cachar Electrical Circle on turnkey mode,Reconductoring of A. 33 KV Kalain Feeder of around 0.81 Ckt KM from ACSR Racoon to ACSR Wolf B. 33 KV IBBL Feeder of around 1.38 Ckt KM form AAAC Racoon to ACSR Wolf Under Kalain ESD of Cachar Electrical Circle on turnkey mode,Please refer Tender documents. ,NA ,"56,49,721",Electrical Works,NA ,Tender,180.0,90.0,Kalain,788815.0,"O/o the CGM( D and S), APDCL,CAR,Bijulee Bhawan ","O/o the CGM( D and S), APDCL,CAR,Bijulee Bhawan,Paltan Bazar ",03-Dec-2025 02:00 PM ,"O/o the CGM( D and S), APDCL,CAR,Bijulee Bhawan",No ,No,"CGM(D and S),APDCL,CAR","O/o the CGM( D and S), APDCL,CAR,Bijulee Bhawan",29-Nov-2025 09:00 AM,16-Dec-2025 12:00 PM,29-Nov-2025 09:00 AM,15-Dec-2025 11:00 AM,29-Nov-2025 09:00 AM ,03-Dec-2025 12:00 PM ,04-Dec-2025 12:00 PM,15-Dec-2025 11:00 AM,09-Jan-2026 03:00 PM,1.0,Fee/PreQual/Technical,.rar,Techno-commercial bid,"2,00,000",No,fixed,,Nil,Nil,1.0,SBI Bank,"5,900",Nil,Nil,No,AOC
,,,,,,,,,,,,2,289134,Mazid Electrical,13-Dec-2025 07:56 PM,Rejected-Technical,Non-Responsive,09-Jan-2026 02:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Schedule,,,,,,,,,,,,,AOC
,,,,,,,,,,,,3,288433,TRANSLINE POWER SERVICE,13-Dec-2025 06:30 PM,Rejected-Finance,L2 Bidder,07-Jul-2026 11:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
