Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Technical,Accepted,Hema Kanta Nath,25-Feb-2026 12:25 AM,technical_80469.pdf,"Ajit Kr. Das, S.E.,PWD(Roads) Cachar Circle, Silchar.",Internal,"Banajit Adhikary,EE, Dholai and Sonai TR Division, Saukat Ali Ahmed, AEE, Sonai TR Sub Divn Jaybal Thousen, AEE(T/C) O/o The SE,PWD(Rd) Cachar Circle Silchar",Hema Kanta Nath,02-Jun-2026 11:54 PM,finsummary_80469.pdf (1639.37 KB),Public Works Roads Department,2026_PWD_50566_11,T/CC/ETN/SIL/2025-26/1033(T),Recovery and Reconstruction of Silchar Hailakandi Road at Silcoorie to Bairagitilla Road under NDRF (PDNA-2022) for the year 2025-26 Sonai LAC,02-Jun-2026,"INR 2,819,662",210.0,Hema Kanta Nath,02-Jun-2026 11:57 PM,CS.pdf (1639.00 KB),Accepted,Finance,Accepted,Hema Kanta Nath,02-Jun-2026 11:51 PM,finance_80469.pdf,BOQ Comparative Chart,1.0,296764.0,ANSARUL HOQUE LASKAR,INR,"2,819,662",1.0,296764.0,ANSARUL HOQUE LASKAR,07-Feb-2026 11:47 AM,Accepted-AOC,Being the lowest bidder,02-Jun-2026 11:57 PM,"Ajit Kr. Das, S.E.,PWD(Roads) Cachar Circle, Silchar.",Internal,"Mimi Chakraborty, AEE(T/C), O/o The ACE, PWRD Barak Valley, Saukat Ali Ahmed, AEE, Sonai TR Sub Divn HK Nath, i/c AEE(T/C) O/o The SE,PWD(Rd) Cachar Circle Silchar",Hema Kanta Nath,25-Feb-2026 12:27 AM,25-Feb-2026 09:00 AM,techsummary_80469.pdf (1251.46 KB),AOC,"The SE, PWD(Roads) Cachar Circle, Silchar.","O/o The SE, PWD(Roads) Cachar Circle, Silchar.",Recovery and Reconstruction of Silchar Hailakandi Road at Silcoorie to Bairagitilla Road under NDRF (PDNA-2022) for the year 2025-26 Sonai LAC,"Recovery and Reconstruction of Silchar Hailakandi Road at Silcoorie to Bairagitilla Road under NDRF (PDNA-2022) for the year 2025-26 Sonai LAC, P/No.SE/SONAI/NDRF(PDNA-2022)/25-26/11",Please refer Tender documents. ,NA ,"28,38,400",Civil Works – Roads,NA ,Rate Contract,180.0,210.0,Cachar District.,788011.0,"O/o The SE, PWD(Roads) Cachar Circle, Silchar. ","O/o The SE, PWD(Roads) Cachar Circle, Silchar. ",04-Feb-2026 02:00 PM ,"O/o The SE, PWD(Roads) Cachar Circle, Silchar.",No ,No,"56,800",Yes,fixed,,Nil,Nil,570.0,Nil,Nil,No,1.0,SBI Bank,28-Jan-2026 09:00 AM,07-Feb-2026 03:10 PM,28-Jan-2026 09:00 AM,07-Feb-2026 03:00 PM,28-Jan-2026 10:00 AM ,04-Feb-2026 03:00 PM ,28-Jan-2026 03:00 PM,07-Feb-2026 03:00 PM,25-Feb-2026 09:00 AM,Public Works Roads Department,T/CC/ETN/SIL/2025-26/1033(T),2026_PWD_50566_11,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Document,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,296765.0,DEY ENTERPRISE,07-Feb-2026 12:11 PM,Rejected-AOC,Not being the lowest bidder,02-Jun-2026 11:57 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,FOB,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
