Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
Bodoland Territorial Council||PWD-BTC,2026_BoTC_52253_1,SE(B)/21-22/Pt-IV/14/568_4,Package No.568_4,Technical,Tech_op,Chiranjiv Ray,29-May-2026 04:36 PM,,"K.C.Boro, S.E.",Internal,,Chiranjiv Ray,10-Jun-2026 02:46 PM,finsummary_82671.pdf (791.78 KB),1.0,303997.0,MANAS DAS,INR,"3,499,000",10-Jun-2026,"INR 3,499,000",180.0,Chiranjiv Ray,10-Jun-2026 02:48 PM,AOC_568_4.pdf (792.00 KB),Finance,Fin_op,Chiranjiv Ray,03-Jun-2026 12:00 PM,,BOQ Comparative Chart,"K.C.Boro, S.E.",Internal,,Chiranjiv Ray,02-Jun-2026 01:44 PM,03-Jun-2026 11:00 AM,techsummary_82671.pdf (704.33 KB),1,304301,DHARAMSING NARZARY,28-May-2026 08:25 PM,Not Admitted-Fee/PreQual/Technical,Others-Hard copy not received.,29-May-2026 04:36 PM,AOC,"Superint. Engineer,PWD,Kokrajhar Building Circle","O/o S.E., PWD, Kokrajhar Building Circle, Kokrajhar",08-May-2026 04:00 PM,29-May-2026 01:30 PM,08-May-2026 04:00 PM,29-May-2026 01:00 PM,08-May-2026 04:00 PM ,22-May-2026 01:00 PM ,08-May-2026 04:00 PM,29-May-2026 01:00 PM,03-Jun-2026 11:00 AM,Bodoland Territorial Council||PWD-BTC,SE(B)/21-22/Pt-IV/14/568_4,2026_BoTC_52253_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,Package No.568_4,"Development of Jaraguri State Dispensary with Solar Light, Toilet Block and Sitting Area Shed at Jaraguri in Kokrajhar District under RIDF-XXXI.",Please refer Tender documents. ,NA ,"32,91,994",Civil Works - Building,NA ,Tender,180.0,180.0,Kokrajhar dist,783361.0,NA ,NA ,NA ,"O/o S.E., PWD, Kokrajhar Building Circle",No ,No,"66,000",Yes,fixed,,Nil,Nil,700.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Details,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,303997,MANAS DAS,26-May-2026 11:46 PM,Accepted-AOC,Awarded,10-Jun-2026 02:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Standard Bid Document,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,304008,MRINAL DAS,26-May-2026 11:19 PM,Rejected-AOC,Not awarded,10-Jun-2026 02:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,304271,PINKU NARZARY,28-May-2026 08:04 PM,Not Admitted-Fee/PreQual/Technical,Others-Hard copy not submitted.,29-May-2026 04:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,304078,Sajal Sengupta,28-May-2026 11:03 AM,Rejected-Technical,Not qualified,02-Jun-2026 01:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
