Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Restoration of flood damage for PDNA 2022 of B/Dyke from Gohaingaon to Charigaon at Dainigaon area.,Restoration of flood damage for PDNA 2022 of B/Dyke from Gohaingaon to Charigaon at Dainigaon area.,Please refer Tender documents. ,NA ,"40,95,297",Civil Works,NA ,Tender,180.0,180.0,Jorhat,785001.0,NA ,NA ,NA ,Guwahati,No ,No,"Chief Engineer, W.R. Department","O/O Chief Engineer Water Resources Department, Basistha, Guwahati 29",800.0,Nil,Nil,No,03-Jan-2026 12:00 PM,13-Jan-2026 03:00 PM,03-Jan-2026 12:00 PM,13-Jan-2026 02:00 PM,NA ,NA ,09-Jan-2026 10:00 AM,13-Jan-2026 02:00 PM,12-Feb-2026 12:40 PM,1.0,SBI Bank,"81,906",Yes,percentage,2.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,Department of Water Resources||Chief Engineer - DoWR,JORHAT/2025-26/ PDNA/WORK/III,2026_DoWR_49886_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,AOC,1,292919,MOHAN CH DAS,13-Jan-2026 07:07 AM,Accepted-AOC,AWARDED,10-Jun-2026 05:24 PM,Director Design,Internal,,Jayanta Kumar Barman,12-Feb-2026 12:35 PM,12-Feb-2026 12:40 PM,techsummary_79299.pdf (128.58 KB),Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,10-Jun-2026 05:18 PM,,BOQ Comparative Chart,10-Jun-2026,"INR 4,095,054.47",180.0,Jayanta Kumar Barman,10-Jun-2026 05:24 PM,FWO_JORHAT_Gohaingaon_Dainigaon.pdf (1078.00 KB),Restoration of flood damage for PDNA 2022 of B/Dyke from Gohaingaon to Charigaon at Dainigaon area.,1.0,292919.0,MOHAN CH DAS,INR,"4,095,054.47",Director Design,Internal,,Jayanta Kumar Barman,10-Jun-2026 05:21 PM,finsummary_79299.pdf (295.10 KB),Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,12-Feb-2026 12:28 PM,,Department of Water Resources||Chief Engineer - DoWR,2026_DoWR_49886_1,JORHAT/2025-26/ PDNA/WORK/III,Restoration of flood damage for PDNA 2022 of B/Dyke from Gohaingaon to Charigaon at Dainigaon area.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,AOC,2,292917,SOMESWAR DAS,13-Jan-2026 07:16 AM,Rejected-AOC,Not Qualified for AOC,10-Jun-2026 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
