Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
"CGM, Audit,APDCL",Internal,,Jubi Jain,16-Feb-2026 01:15 PM,16-Feb-2026 02:20 PM,techsummary_79940.pdf (701.12 KB),1.0,294512.0,BISWAS DASGUPTA DATTA AND ROY,INR,"784,700",Assam Power Distribution Company Ltd||CGM(Audit) - APDCL,2026_APDCL_50178_3,CGM(Audit)/IA/APDCL/2023/05/P1,Appointment of CA/CMA firms for internal audit PKG 3,Finance,The financial bid is opened.,Jubi Jain,16-Feb-2026 02:34 PM,,BOQ Comparative Chart,1,294512,BISWAS DASGUPTA DATTA AND ROY,27-Jan-2026 03:51 PM,Accepted-AOC,H1 bidder,10-Jun-2026 01:19 PM,Technical,Bids are opened on 30.01.2026,Kanak Chandra Mazumdar,30-Jan-2026 11:59 AM,,27-Feb-2026,"INR 784,700",97.0,Jubi Jain,10-Jun-2026 01:19 PM,LOA3.pdf (1223.00 KB),"CGM, Audit, APDCL",Internal,,Kanak Chandra Mazumdar,19-Feb-2026 03:28 PM,finsummary_79940.pdf (426.06 KB),AOC,1.0,SBI Bank,"3,000",Nil,Nil,No,12-Jan-2026 03:35 PM,30-Jan-2026 11:00 AM,12-Jan-2026 03:40 PM,28-Jan-2026 02:00 PM,12-Jan-2026 05:00 PM ,17-Jan-2026 09:00 AM ,19-Jan-2026 05:00 PM,28-Jan-2026 02:00 PM,16-Feb-2026 02:20 PM,"20,000",No,fixed,,Nil,Nil,"CGM Audit,APDCL","O/o the CGM-Audit, APDCL, 4th Floor, Bijulee Bhawan, Guwahati-01",Appointment of CA/CMA firms for internal audit PKG 3,Appointment of CA/CMA firms for conducting the internal audit for the financial year 202526 on half yearly basis PKG3,Please refer Tender documents. ,NA ,"6,70,000",Miscellaneous Services,Internal Audit ,Tender,180.0,NA ,Assam,781001.0,Guwahati ,"O/o the CGM-Audit, APDCL, 4th Floor, Bijulee Bhawan, Guwahati-01 ",17-Jan-2026 03:00 PM ,Guwahati,No ,No,1.0,Corrigendum,Other,,1.0,Fee/PreQual/Technical,.rar,"EMD , Tender Processing Fees, Technical Bid document",Assam Power Distribution Company Ltd||CGM(Audit) - APDCL,CGM(Audit)/IA/APDCL/2023/05/P1,2026_APDCL_50178_3,Yes,Open Tender,Lump-sum,Services,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,295313,DIWAN KUNWARIYA AND CO,28-Jan-2026 01:45 PM,Rejected-Technical,Nonresponsive as per clause 3.2 and 3.3,16-Feb-2026 01:15 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,295036,D N DOKANIA & ASSOCIATES,27-Jan-2026 07:54 PM,Rejected-Finance,NOT H1 BIDDER,19-Feb-2026 03:28 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,294965,GOYAL PARUL AND CO,28-Jan-2026 12:55 PM,Rejected-Finance,NOT H1 BIDDER,19-Feb-2026 03:28 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,295184,Hari Singh and Associates,28-Jan-2026 12:55 PM,Rejected-Finance,PACKAGE 2 AWARDED,19-Feb-2026 03:28 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,295257,J K S S & ASSOCIATES,27-Jan-2026 05:12 PM,Rejected-Technical,Nonresponsive as per clause 3.2 and 3.3,16-Feb-2026 01:15 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,294847,M BORAR AND CO,27-Jan-2026 10:12 PM,Rejected-Finance,PACKAGE 1 AWARDED,19-Feb-2026 03:28 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,295440,Raj Har Gopal & Co.,28-Jan-2026 11:50 AM,Rejected-Finance,NOT H1 BIDDER,19-Feb-2026 03:28 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,295516,Ramen Chandra Dev Sarma,28-Jan-2026 01:33 PM,Rejected-Technical,Nonresponsive due to non fulfillment of prerequisite criteria,16-Feb-2026 01:15 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,295433,Sarupria Somani & Associates,28-Jan-2026 12:34 PM,Rejected-Finance,NOT H1 BIDDER,19-Feb-2026 03:28 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
