Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"Chief Engineer, Water Resources Department, Assam","O/O Chief Engineer Water Resources Department, Basistha, Guwahati 29",1.0,Extension Notice,Date,,Restoration of Indo-Bangla Border Link Road from the end point of Ongoing Geo-Tube works for a length of 1.00 km.,Restoration of Indo-Bangla Border Link Road from the end point of Ongoing Geo-Tube works for a length of 1.00 km.,Please refer Tender documents. ,NA ,"57,46,736",Civil Works,NA ,Tender,165.0,180.0,South Salmara,783127.0,NA ,NA ,NA ,Guwahati,No ,No,1.0,SBI Bank,Department of Water Resources||Chief Engineer - DoWR,SOUTH SALMARA/ 2025-26/PDNA/WORK/I,2026_DoWR_49827_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"1,000",Nil,Nil,No,"1,14,935",Yes,percentage,2.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,01-Jan-2026 06:00 PM,19-Jan-2026 03:00 PM,01-Jan-2026 06:00 PM,19-Jan-2026 02:00 PM,NA ,NA ,06-Jan-2026 10:00 AM,19-Jan-2026 02:00 PM,10-Feb-2026 11:15 AM,AOC,Director Design,Internal,,Jayanta Kumar Barman,10-Feb-2026 11:13 AM,10-Feb-2026 11:15 AM,techsummary_79202.pdf (228.93 KB),1,293406,ROFIQUE AHMED,17-Jan-2026 08:11 PM,Rejected-AOC,Not Qualified for AOC,20-Jun-2026 07:50 PM,20-Jun-2026,"INR 5,745,440.98",180.0,Jayanta Kumar Barman,20-Jun-2026 07:50 PM,FWO_south_salmara_indo_bangla_border.pdf (929.00 KB),Restoration of Indo-Bangla Border Link Road from the end point of Ongoing Geo-Tube works for a length of 1.00 km.,Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,20-Jun-2026 07:45 PM,,BOQ Comparative Chart,1.0,293409.0,Zahirul Islam,INR,"5,745,440.98",Department of Water Resources||Chief Engineer - DoWR,2026_DoWR_49827_1,SOUTH SALMARA/ 2025-26/PDNA/WORK/I,Restoration of Indo-Bangla Border Link Road from the end point of Ongoing Geo-Tube works for a length of 1.00 km.,Director Design,Internal,,Jayanta Kumar Barman,20-Jun-2026 07:47 PM,finsummary_79202.pdf (254.33 KB),Technical,All bids are open for technical evaluation.,Jayanta Kumar Barman,10-Feb-2026 11:01 AM,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL BID,,,,,,,,,,AOC,,,,,,,,2,293409,Zahirul Islam,17-Jan-2026 08:21 PM,Accepted-AOC,AWARDED,20-Jun-2026 07:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
