Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,"CE, PWD(Bldg), Assam, Chandmari, Ghy-3","O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3","11,74,163",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,"Development of Tezpur Polo Field Playground at Tezpur, Sonitpur","Development of Tezpur Polo Field Playground at Tezpur, Sonitpur",Please refer Tender documents. ,NA ,"5,87,08,128",Civil Works - Building,NA ,Tender,180.0,365.0,Tezpur,784001.0,"O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3 ","O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3 ",06-Feb-2026 01:00 PM ,"O/O The CE, PWD(Bldg), Assam, Chandmari, Ghy-3",No ,No,02-Feb-2026 05:00 PM,24-Feb-2026 04:30 PM,02-Feb-2026 05:00 PM,24-Feb-2026 04:00 PM,NA ,NA ,12-Feb-2026 11:00 AM,24-Feb-2026 04:00 PM,13-May-2026 04:00 PM,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,T/TB-1/07/2024/31 Dated 21/01/2026,2026_PWBNH_50712_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"11,742",Nil,Nil,No,AOC,Technical,Summary,Prarthana Konwar,24-Feb-2026 04:57 PM,technical_80703.pdf,1.0,299299.0,JAI MAA KAMAKHYA INFRASTRUCTURE,24-Feb-2026 12:05 AM,Rejected-Technical,Non responsive,13-May-2026 03:48 PM,Finance,Financial Bid opened,ABIDUR RAHMAN,14-May-2026 05:56 PM,finance_80703.pdf,BOQ Comparative Chart,10-Jun-2026,"INR 49,901,909",365.0,Shaswati Saikia,10-Jun-2026 03:33 PM,FWO.pdf (690.00 KB),Contract awarded to L1 Bidder,CE PWD(Bldg),Internal,,Shaswati Saikia,10-Jun-2026 03:29 PM,finsummary_80703.pdf (575.96 KB),CE_PWD(Bldg.),Internal,,Subrata Bora,13-May-2026 03:48 PM,13-May-2026 04:00 PM,techsummary_80703.pdf (384.25 KB),1.0,298935.0,MANOJ TALUKDAR,INR,"49,901,909",Public Works Building and NH Department||Chief Engineer-Building - PWBNH,2026_PWBNH_50712_1,T/TB-1/07/2024/31 Dated 21/01/2026,"Development of Tezpur Polo Field Playground at Tezpur, Sonitpur",AOC
,,.pdf,BIDDING DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,2.0,298825.0,KULEN HAZARIKA,23-Feb-2026 12:00 PM,Rejected-Finance,L2 Bidder,10-Jun-2026 03:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,TECHNICAL QUALIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,3.0,298935.0,MANOJ TALUKDAR,24-Feb-2026 11:18 AM,Accepted-AOC,L1 Bidder,10-Jun-2026 03:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,4.0,299324.0,Surjya Das,24-Feb-2026 11:30 AM,Rejected-Technical,Non responsive,13-May-2026 03:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,FORM OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
