Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"7,000",Nil,Nil,No,"Chief Engineer, WRD, Assam","O/o the Chief Engineer, WRD, Assam, AWC Basistha, Ghy 29",Department of Water Resources||Chief Engineer - DoWR,SIVASAGAR/2025-26/ PDNA/WORK/VII,2026_DoWR_50346_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,19-Jan-2026 06:55 PM,30-Jan-2026 03:00 PM,19-Jan-2026 06:55 PM,30-Jan-2026 02:00 PM,NA ,NA ,26-Jan-2026 10:00 AM,30-Jan-2026 02:00 PM,12-Feb-2026 01:05 PM,Restoration of damaged section of Dikhow bund L/B from Namdung outfall to Dikhowmukh (From Ch. 46580 m and Ch. 49060 m to Ch. 51910 m).,Restoration of damaged section of Dikhow bund L/B from Namdung outfall to Dikhowmukh (From Ch. 46580 m and Ch. 49060 m to Ch. 51910 m).,Please refer Tender documents. ,NA ,"3,36,17,468",Civil Works,NA ,Tender,180.0,180.0,SIVASAGAR,785640.0,NA ,NA ,NA ,Guwahati,No ,No,1.0,SBI Bank,"6,72,349",Yes,percentage,2.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,AOC,06-Jun-2026,"INR 33,614,669.05",180.0,Jayanta Kumar Barman,06-Jun-2026 06:13 PM,FWO_Sivasagar_Namdung_outfall.PDF (592.00 KB),Restoration of damaged section of Dikhow bund L/B from Namdung outfall to Dikhowmukh (From Ch. 46580 m and Ch. 49060 m to Ch. 51910 m).,Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,06-Jun-2026 06:07 PM,,BOQ Comparative Chart,1.0,295347.0,Utpal Gogoi,INR,"33,614,669.05",Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,12-Feb-2026 01:01 PM,,Director Design,Internal,,Jayanta Kumar Barman,06-Jun-2026 06:08 PM,finsummary_80192.pdf (305.73 KB),Department of Water Resources||Chief Engineer - DoWR,2026_DoWR_50346_1,SIVASAGAR/2025-26/ PDNA/WORK/VII,Restoration of damaged section of Dikhow bund L/B from Namdung outfall to Dikhowmukh (From Ch. 46580 m and Ch. 49060 m to Ch. 51910 m).,1,295351,DHRUBAJIT CHETIA,28-Jan-2026 05:49 PM,Rejected-AOC,Not Qualified for AOC,06-Jun-2026 06:14 PM,Director Design,Internal,,Jayanta Kumar Barman,12-Feb-2026 01:04 PM,12-Feb-2026 01:05 PM,techsummary_80192.pdf (130.54 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL BID,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,295347,Utpal Gogoi,29-Jan-2026 09:09 AM,Accepted-AOC,AWARDED,06-Jun-2026 06:14 PM,,,,,,,,AOC
