Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
Public Works Roads Department,2025_PWD_45408_17,CE/DEV/TB/60/2025-26/01 Dtd- 21.06.2025,MMPPNA_RIDF_XXXI_25_26_95 Construction of road from Hatihal watersupply project connecting Borgorah Namghar through Hatihal Bishnupur to Dhulijan Borgorah PWD road (L- 3.27 Km) under Mukhya Mantrir Paki Path Nirman Achani (MMPPNA) under RIDF-XXXI of,CE PWRD,Internal,,BHABANANDA DEKA,05-Jun-2026 05:27 PM,finsummary_71892.pdf (482.95 KB),Technical,Admitted,Utpal Chakravarty,11-Dec-2025 06:49 PM,,1.0,273462.0,Gunjan Construction,INR,"26,794,000",05-Jun-2026,"INR 26,794,000",365.0,BHABANANDA DEKA,05-Jun-2026 05:29 PM,95AA.pdf (469.00 KB),Finance,Admitted,BHABANANDA DEKA,05-Jun-2026 05:16 PM,,BOQ Comparative Chart,"CE,PWRD",Internal,,Utpal Chakravarty,11-Dec-2025 06:51 PM,11-Dec-2025 06:55 PM,techsummary_71892.pdf (281.61 KB),1,273462,Gunjan Construction,28-Jul-2025 12:27 PM,Accepted-AOC,Awarded,05-Jun-2026 05:29 PM,AOC,MMPPNA_RIDF_XXXI_25_26_95 Construction of road from Hatihal watersupply project connecting Borgorah Namghar through Hatihal Bishnupur to Dhulijan Borgorah PWD road (L- 3.27 Km) under Mukhya Mantrir Paki Path Nirman Achani (MMPPNA) under RIDF-XXXI of,MMPPNA_RIDF_XXXI_25_26_95 Construction of road from Hatihal watersupply project connecting Borgorah Namghar through Hatihal Bishnupur to Dhulijan Borgorah PWD road (L- 3.27 Km) under Mukhya Mantrir Paki Path Nirman Achani (MMPPNA) under RIDF-XXXI of,Please refer Tender Documents. ,NA ,"3,01,43,000",Civil Works – Roads,NA ,Tender,180.0,365.0,Makum,786170.0,"CE,PWRD ","CE,PWRD ",17-Jul-2025 12:00 PM ,"CE,PWRD",No ,No,Public Works Roads Department,CE/DEV/TB/60/2025-26/01 Dtd- 21.06.2025,2025_PWD_45408_17,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"6,030",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,08-Jul-2025 02:00 PM,28-Jul-2025 02:30 PM,08-Jul-2025 02:00 PM,28-Jul-2025 02:00 PM,08-Jul-2025 02:00 PM ,14-Jul-2025 12:00 PM ,08-Jul-2025 02:00 PM,28-Jul-2025 02:00 PM,11-Dec-2025 06:55 PM,"6,03,000",Yes,fixed,,Nil,Nil,"CE,PWRD","CE,PWRD",1.0,SBI Bank,1.0,SBD Modified,Other,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,273192,Kirti Kamal Baruah,28-Jul-2025 02:48 AM,Rejected-Finance,Rejected,05-Jun-2026 05:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BIDDING DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,272754,NURUL AMIN,28-Jul-2025 01:07 AM,Rejected-Finance,Rejected,05-Jun-2026 05:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,273701,PRANJAL NEOG,27-Jul-2025 05:01 PM,Rejected-Finance,Rejected,05-Jun-2026 05:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,273457,Sushil Kumar Agarwala,28-Jul-2025 12:33 PM,Rejected-Finance,Rejected,05-Jun-2026 05:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,AOC
