Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"Chief Engineer, Water Resources Department","Assam Water Centre, O/o the Chief Engineer, WRD, 5th Floor, Basistha, Guwahati-29.","7,000",Nil,Nil,No,"6,74,807",Yes,percentage,2.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Technical Documents,17-Feb-2026 06:55 PM,25-Feb-2026 03:00 PM,17-Feb-2026 06:55 PM,25-Feb-2026 02:00 PM,NA ,NA ,20-Feb-2026 10:00 AM,25-Feb-2026 02:00 PM,09-Mar-2026 10:20 AM,Department of Water Resources||Chief Engineer - DoWR,MORIGAON/2025-26/SOPD-G/XI,2026_DoWR_51264_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,Construction of Flood Embankment on Right Bank of River Pokoria from Tetliguri to Patekibori. (Ph V),Construction of Flood Embankment on Right Bank of River Pokoria from Tetliguri to Patekibori. (Ph V),Please refer Tender documents. ,NA ,"3,37,40,348",Civil Works,NA ,Tender,180.0,180.0,"Teteliguri, Morigaon",782411.0,NA ,NA ,NA ,Guwahati,No ,No,1.0,SBI Bank,AOC,Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,24-Apr-2026 12:41 PM,,BOQ Comparative Chart,24-Jun-2026,"INR 33,690,348.09",180.0,Jayanta Kumar Barman,24-Jun-2026 07:10 PM,FWO_morigaon_pokoria_patekibori_V.PDF (497.00 KB),Construction of Flood Embankment on Right Bank of River Pokoria from Tetliguri to Patekibori. (Ph V),1.0,299428.0,Progressive Enterprises,INR,"33,690,348.09",Department of Water Resources||Chief Engineer - DoWR,2026_DoWR_51264_1,MORIGAON/2025-26/SOPD-G/XI,Construction of Flood Embankment on Right Bank of River Pokoria from Tetliguri to Patekibori. (Ph V),Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,09-Mar-2026 09:37 AM,,Director Design,Internal,,Jayanta Kumar Barman,24-Jun-2026 07:05 PM,finsummary_81461.pdf (274.76 KB),Director Design,Internal,,Jayanta Kumar Barman,09-Mar-2026 10:12 AM,09-Mar-2026 10:20 AM,techsummary_81461.pdf (140.85 KB),1,299345,KEA CONSULTANTS PRIVATE LIMITED,24-Feb-2026 11:33 AM,Rejected-AOC,Not Qualified for AOC,24-Jun-2026 07:13 PM,AOC
,,,,,,,,,,,,2,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,299428,Progressive Enterprises,24-Feb-2026 06:52 PM,Accepted-AOC,AWARDED,24-Jun-2026 07:13 PM,AOC
