Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders||PWD (R) - ARRBP,eCF No 720769/9,2025_PWRDW_49588_14,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"CE (EAP) PWRD, Fatasil Ambari","CE (EAP) PWRD, Fatasil Ambari","3,77,560",Yes,fixed,,Nil,Nil,24-Dec-2025 02:00 PM,07-Jan-2026 02:30 PM,24-Dec-2025 02:00 PM,07-Jan-2026 02:00 PM,24-Dec-2025 02:00 PM ,31-Dec-2025 11:00 AM ,24-Dec-2025 02:00 PM,07-Jan-2026 02:00 PM,27-Feb-2026 02:40 PM,1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD Receipt,"5,000",Nil,Nil,No,Tinsukia/06 Construction of Bridge in i) Br No 1/1 7 No Shantipur to Ghuramura Gaon Road,Construction of Bridge in Tinsukia district i) Br No 1/1 7 No Shantipur to Ghuramura Gaon Road,Please refer Tender documents. ,NA ,"1,88,78,000",Civil Works - Bridges,NA ,Tender,90.0,540.0,Tinsukia District,786150.0,"O/o the Chief Engineer (EAP), PWRD ","O/o the Chief Engineer (EAP), PWRD ",31-Dec-2025 11:00 AM ,"O/o the CE (EAP) PWRD, Fatasil Ambari",No ,No,AOC,Chief Engineer,Internal,,DIPAK KR. NATH,29-Jun-2026 01:01 PM,finsummary_78759.pdf (305.22 KB),Technical,Technical Bid opened,Dibyajyoti Nath,19-Jan-2026 02:13 PM,,Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders||PWD (R) - ARRBP,2025_PWRDW_49588_14,eCF No 720769/9,Tinsukia/06 Construction of Bridge in i) Br No 1/1 7 No Shantipur to Ghuramura Gaon Road,1.0,292229.0,Biswajit Gogoi,INR,"19,818,100",1.0,292229.0,Biswajit Gogoi,06-Jan-2026 07:03 PM,Accepted-AOC,AOC given,29-Jun-2026 01:04 PM,29-Jun-2026,"INR 19,818,100",540.0,DIPAK KR. NATH,29-Jun-2026 01:03 PM,Tinsukia06.pdf (211.00 KB),Tinsukia/06 Construction of Bridge in i) Br No 1/1 7 No Shantipur to Ghuramura Gaon Road,Finance,Financial Bid opened,Rajiv Borgohain,27-Feb-2026 03:09 PM,,BOQ Comparative Chart,"Chief Engineer, PWRD (EAP)",Internal,,DIPAK KR. NATH,27-Feb-2026 02:35 PM,27-Feb-2026 02:40 PM,techsummary_78759.pdf (520.15 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,292179.0,Sanjay Kumar Singh,07-Jan-2026 10:45 AM,Rejected-Technical,Non Responsive,27-Feb-2026 02:35 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Specification,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Detail,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Technical Bid,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Financial Bid,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
