Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
Technical,Minutes,Kirti Nath Talukdar,04-Jun-2026 01:18 PM,technical_82496.pdf,"Secretary, GMDA",Internal,,Kirti Nath Talukdar,25-Jun-2026 11:40 AM,finsummary_82496.pdf (740.82 KB),Guwahati Metropolitan Development Authority||Guwahati Development Department - GMDA,2026_GMDA_52098_1,GMDA/DEV/27/2026/02,"Urban Climate Adaptation Measures Including Underground Retention Tanks, RWH, and Percolation blocks (Construction of source control measures for delaying runoff through underground retention tanks with RWH using modular eco-block arrangement)",1.0,303092.0,NEWNESS,INR,"199,957,883.3",26-Jun-2026,"INR 199,957,883.3",365.0,Kirti Nath Talukdar,25-Jun-2026 12:22 PM,WorkorderECO.pdf (717.00 KB),Finance,Minutes TEC,Kirti Nath Talukdar,25-Jun-2026 10:58 AM,finance_82496.pdf,BOQ Comparative Chart,1,302889,Chaudhary Construction Company Private Limited,06-Apr-2026 01:56 PM,Rejected-Technical,TECHNICALLY NOT QUALIFIED,11-Jun-2026 04:25 PM,SECY GMDA,Internal,,Palashjyoti Das,11-Jun-2026 04:25 PM,11-Jun-2026 04:30 PM,techsummary_82496.pdf (612.04 KB),AOC,"Urban Climate Adaptation Measures Including Underground Retention Tanks, RWH, and Percolation blocks (Construction of source control measures for delaying runoff through underground retention tanks with RWH using modular eco-block arrangement)","Urban Climate Adaptation Measures Including Underground Retention Tanks, RWH, and Percolation blocks (Construction of source control measures for delaying runoff through underground retention tanks with RWH using modular eco-block arrangement)",Please refer Tender documents. ,NA ,"20,00,00,000",Civil Works,NA ,Tender,180.0,NA ,GUWAHATI,781005.0,NA ,NA ,NA ,"Office of GMDA, Guwahati",No ,No,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,Guwahati Metropolitan Development Authority||Guwahati Development Department - GMDA,GMDA/DEV/27/2026/02,2026_GMDA_52098_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,16-Mar-2026 03:00 PM,06-Apr-2026 03:00 PM,16-Mar-2026 04:00 PM,06-Apr-2026 02:00 PM,NA ,NA ,25-Mar-2026 09:00 AM,06-Apr-2026 02:00 PM,11-Jun-2026 04:30 PM,"40,00,000",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,"20,000",Nil,Nil,No,CEO GMDA,"Office of GMDA, Guwahati",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,303092,NEWNESS,04-Apr-2026 08:50 PM,Accepted-AOC,L-1 bidder,25-Jun-2026 12:22 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,303160,Nipul Kalita,06-Apr-2026 11:58 AM,Rejected-AOC,Quoted value is higher than L-1 biider,25-Jun-2026 12:22 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,302806,Sri Uday Baishya,04-Apr-2026 08:45 PM,Rejected-AOC,Quoted value is higher than L-1 biider,25-Jun-2026 12:22 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,LOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
