Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,Fee/PreQual/Technical,.rar,"EMD , Tender Processing Fees, Technical Bid document",Appointment of CA/CMA firms for internal audit PKG 4,Appointment of CA/CMA firms for conducting the internal audit for the financial year 202526 half yearly basis under PKG4,Please refer Tender documents. ,NA ,"6,30,000",Miscellaneous Services,Internal Audit ,Tender,180.0,NA ,Assam,781001.0,Guwahati ,"O/o the CGM-Audit, APDCL, 4th Floor, Bijulee Bhawan, Guwahati-01 ",17-Jan-2026 03:00 PM ,Guwahati,No ,No,1.0,SBI Bank,"20,000",No,fixed,,Nil,Nil,12-Jan-2026 04:20 PM,30-Jan-2026 11:00 AM,12-Jan-2026 04:25 PM,28-Jan-2026 02:00 PM,12-Jan-2026 05:00 PM ,17-Jan-2026 09:00 AM ,19-Jan-2026 05:00 PM,28-Jan-2026 02:00 PM,16-Feb-2026 03:00 PM,Assam Power Distribution Company Ltd||CGM(Audit) - APDCL,CGM(Audit)/IA/APDCL/2023/05/P1,2026_APDCL_50178_4,Yes,Open Tender,Lump-sum,Services,2.0,No,No,Online,No,No,No,"3,000",Nil,Nil,No,"CGM Audit,APDCL","O/o the CGM-Audit, APDCL, 4th Floor, Bijulee Bhawan, Guwahati-01",1.0,Corrigendum,Other,,AOC,"CGM, Audit,APDCL",Internal,,Jubi Jain,16-Feb-2026 01:24 PM,16-Feb-2026 03:00 PM,techsummary_79951.pdf (700.14 KB),Assam Power Distribution Company Ltd||CGM(Audit) - APDCL,2026_APDCL_50178_4,CGM(Audit)/IA/APDCL/2023/05/P1,Appointment of CA/CMA firms for internal audit PKG 4,1.0,295476.0,SATENDRA GUPTA AND ASSOCIATES,INR,"699,000",Finance,Financial Bid is opened.,Kanak Chandra Mazumdar,16-Feb-2026 03:18 PM,,BOQ Comparative Chart,Technical,Bids opened on 30.06.2026,Khanin Choudhury,30-Jan-2026 11:39 AM,,1,295413,A JOHN MORIS & CO,28-Jan-2026 12:17 PM,Rejected-Finance,NOT H1 BIDDER,19-Feb-2026 03:42 PM,"CGM, Audit, APDCL",Internal,,Kanak Chandra Mazumdar,19-Feb-2026 03:42 PM,finsummary_79951.pdf (426.17 KB),27-Feb-2026,"INR 699,000",97.0,Jubi Jain,10-Jun-2026 01:21 PM,LOA4.pdf (1323.00 KB),AOC
2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,294511,BISWAS DASGUPTA DATTA AND ROY,27-Jan-2026 03:53 PM,Rejected-Finance,AWARDED PACKAGE 3,19-Feb-2026 03:42 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,295315,DIWAN KUNWARIYA AND CO,28-Jan-2026 01:47 PM,Rejected-Technical,Nonresponsive as per clause 3.2 and 3.3,16-Feb-2026 01:24 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,294955,D N DOKANIA & ASSOCIATES,27-Jan-2026 07:55 PM,Rejected-Finance,NOT H1 BIDDER,19-Feb-2026 03:42 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,295110,GOYAL PARUL AND CO,28-Jan-2026 12:48 PM,Rejected-Finance,NOT H1 BIDDER,19-Feb-2026 03:42 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,295188,Hari Singh and Associates,28-Jan-2026 01:05 PM,Rejected-Finance,AWARDED PACKAGE 2,19-Feb-2026 03:42 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,294587,J K S S & ASSOCIATES,27-Jan-2026 06:12 PM,Rejected-Technical,Nonresponsive as per clause 3.2 and 3.3,16-Feb-2026 01:24 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,294843,M BORAR AND CO,27-Jan-2026 10:13 PM,Rejected-Finance,AWARDED PACKAGE 1,19-Feb-2026 03:42 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,295104,Raj Har Gopal & Co.,28-Jan-2026 11:41 AM,Rejected-Finance,NOT H1 BIDDER,19-Feb-2026 03:42 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,295241,Sarupria Somani & Associates,28-Jan-2026 12:45 PM,Rejected-Finance,NOT H1 BIDDER,19-Feb-2026 03:42 PM,,,,,,,,,,,,,AOC
