Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Construction of New Building of 100 Secondary Schools under RIDF-XXXI (2025-26) for National HSS under Hojai DTBD ( Package-72),Construction of New Building of 100 Secondary Schools under RIDF-XXXI (2025-26) for National HSS under Hojai DTBD ( Package-72),Please refer Tender documents. ,NA ,"4,08,13,329",Civil Works - Building,NA ,Tender,180.0,545.0,Hojai,782435.0,"O/O The CE (H_E) P.W. (H_E) Deptt Chandmari, Ghy-3 ","O/O The CE (H_E) P.W. (H_E) Deptt Chandmari, Ghy-3 ",13-Jan-2026 11:30 AM ,"O/O The CE (H_E) P.W. (H_E) Deptt Chandmari, Ghy-3",No ,No,1.0,SBI Bank,"8,500",Nil,Nil,No,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,CE/TB-III(H_E)/40/2025/30 Dated Guwahati the 08/01/2026,2026_PWBNH_50153_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"CE (H_E) P.W. (H_E) Deptt Chandmari, Ghy-3","O/O The CE (H_E) P.W. (H_E) Deptt Chandmari, Ghy-3",1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,12-Jan-2026 12:30 PM,16-Jan-2026 03:00 PM,12-Jan-2026 12:30 PM,16-Jan-2026 02:00 PM,NA ,NA ,12-Jan-2026 12:30 PM,16-Jan-2026 02:00 PM,02-Feb-2026 02:35 PM,"8,16,267",Yes,percentage,2.0%,Nil,Nil,AOC,CE PWD(Bldg),Internal,,Chandana Basumatary,02-Feb-2026 02:31 PM,02-Feb-2026 02:35 PM,techsummary_79933.pdf (437.61 KB),1.0,292980.0,Rishabh Jain,INR,"44,177,777",Public Works Building and NH Department||Chief Engineer-Building - PWBNH,2026_PWBNH_50153_2,CE/TB-III(H_E)/40/2025/30 Dated Guwahati the 08/01/2026,Construction of New Building of 100 Secondary Schools under RIDF-XXXI (2025-26) for National HSS under Hojai DTBD ( Package-72),Technical,Summary,Chandana Basumatary,16-Jan-2026 05:09 PM,technical_79933.pdf,1.0,292980.0,Rishabh Jain,14-Jan-2026 08:14 PM,Accepted-AOC,awarded,17-Jun-2026 02:00 PM,Finance,Summary,ABIDUR RAHMAN,02-Feb-2026 02:49 PM,finance_79933.pdf,BOQ Comparative Chart,17-Jun-2026,"INR 44,177,777",545.0,ABIDUR RAHMAN,17-Jun-2026 02:00 PM,nationalFWO.pdf (1221.00 KB),Chief Engineer,Internal,,ABIDUR RAHMAN,17-Jun-2026 01:55 PM,finsummary_79933.pdf (1221.24 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BIDDING DOCUMENT,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATIONS,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX-IB,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
