Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
05-Dec-2025 06:00 PM,26-Dec-2025 01:00 PM,05-Dec-2025 06:05 PM,24-Dec-2025 02:00 PM,NA ,NA ,09-Dec-2025 11:00 AM,24-Dec-2025 02:00 PM,21-Jan-2026 11:30 AM,"Development, Operation and Management Contract for running the Prashaanti Tourist Lodge, Sarthebari","Development, Operation and Management Contract for running the Prashaanti Tourist Lodge, Sarthebari",Please refer Tender documents. ,NA ,"15,000",Hotel/ Catering,NA ,Tender,180.0,5475.0,Sarthebari,781307.0,Guwahati ,"Office of the Managing Director, ATDC Ltd., Paltanbazar, Guwahati-8 ",08-Dec-2025 12:00 PM ,Guwahati,No ,No,"3,600",No,fixed,,Nil,Nil,1.0,"Second Extension Notice for Development, Operation and Management Contract for running the Prashaanti Tourist Lodge, Sarthebari",Date,,1.0,SBI Bank,Department of Tourism||Assam Tourism Development Corporation Ltd. - DOT||HO-Guwahati-ATDCL - DOT,ATDC.2822/2017/Pt-II/DM02/3785 dtd. 14.11.2025,2025_DOT_49075_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Fresh Detail Notice Inviting Bid,"1,000",Nil,Nil,No,"Managing Director, ATDC Ltd.","Office of the Managing Director, ATDC Ltd., Paltanbazar, Guwahati-8",AOC,Department of Tourism||Assam Tourism Development Corporation Ltd. - DOT||HO-Guwahati-ATDCL - DOT,2025_DOT_49075_1,ATDC.2822/2017/Pt-II/DM02/3785 dtd. 14.11.2025,"Development, Operation and Management Contract for running the Prashaanti Tourist Lodge, Sarthebari",18-Jun-2026,"INR 15,003",5475.0,Kishore Dutta,18-Jun-2026 01:34 PM,LOISarthebari.pdf (188.00 KB),Letter of Intent,1.0,290390.0,Barnali Lodge,24-Dec-2025 11:29 AM,Accepted-AOC,Single Bidder,18-Jun-2026 01:34 PM,Finance,Report of Financial Evaluation Committee,Kishore Dutta,18-Jun-2026 12:53 PM,finance_77896.pdf,BOQ Comparative Chart,1.0,290390.0,Barnali Lodge,INR,"15,003",Technical,Report of Technical Evaluation Committee,SANJIB KUMAR DUTTA,20-Jan-2026 01:27 PM,technical_77896.pdf,Bhaskar Jyoti Baruah,Internal,"Kishore Dutta, Kushal Sarma",Kishore Dutta,18-Jun-2026 01:03 PM,finsummary_77896.pdf (176.37 KB),Prabhash Ch. Sarma,Internal,"RL Das, Tina Mitra",SANJIB KUMAR DUTTA,20-Jan-2026 01:30 PM,21-Jan-2026 11:30 AM,techsummary_77896.pdf (182.89 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Document,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Qualification of the Bidder,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
