S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,SBI Bank,"2,23,883",Yes,percentage,2.0%,Nil,Nil,Restoration of damage embankment from Mohemari Gaon to Bantow Chamuah Pathar areas from the flood devastation of river Korha during 2025-26 on L/B embankment.,Restoration of damage embankment from Mohemari Gaon to Bantow Chamuah Pathar areas from the flood devastation of river Korha during 2025-26 on L/B embankment.,Please refer Tender documents. ,NA ,"1,11,94,130",Civil Works,NA ,Tender,180.0,180.0,DHAKUAKHANA,787055.0,NA ,NA ,NA ,Guwahati,No ,No,"2,000",Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,Department of Water Resources||Chief Engineer - DoWR,DHAKUAKHANA/2025-26/SOPD G/III,2026_DoWR_50904_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,06-Feb-2026 06:55 PM,17-Feb-2026 03:00 PM,06-Feb-2026 06:55 PM,17-Feb-2026 02:00 PM,NA ,NA ,13-Feb-2026 10:00 AM,17-Feb-2026 02:00 PM,06-Mar-2026 11:55 AM,"Chief Engineer, Water Resources Department, Assam","O/O Chief Engineer Water Resources Department, Basistha, Guwahati 29",AOC,1.0,298372.0,BHARAT BHASKAR GOGOI,INR,"11,192,983.48",Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,24-Apr-2026 12:54 PM,,BOQ Comparative Chart,11-Jun-2026,"INR 11,192,983.48",180.0,Jayanta Kumar Barman,11-Jun-2026 07:33 PM,FWO_Dhakuakhana_Mohemari_Bantow.pdf (3765.00 KB),Restoration of damage embankment from Mohemari Gaon to Bantow Chamuah Pathar areas from the flood devastation of river Korha during 2025-26 on L/B embankment.,Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,27-Feb-2026 12:46 PM,,Director Design,Internal,,Jayanta Kumar Barman,11-Jun-2026 07:27 PM,finsummary_81033.pdf (317.89 KB),Department of Water Resources||Chief Engineer - DoWR,2026_DoWR_50904_1,DHAKUAKHANA/2025-26/SOPD G/III,Restoration of damage embankment from Mohemari Gaon to Bantow Chamuah Pathar areas from the flood devastation of river Korha during 2025-26 on L/B embankment.,1,298372,BHARAT BHASKAR GOGOI,16-Feb-2026 09:04 PM,Accepted-AOC,AWARDED,11-Jun-2026 07:34 PM,Director Design,Internal,,Jayanta Kumar Barman,06-Mar-2026 11:49 AM,06-Mar-2026 11:55 AM,techsummary_81033.pdf (147.17 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,298373,SRI AMIYA KUMAR HAZARIKA,16-Feb-2026 09:16 PM,Rejected-AOC,Not Qualified for AOC,11-Jun-2026 07:34 PM,,,,,,,,AOC
