Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Bid Opening Summary,Diganta Sarma,22-Jan-2026 12:25 PM,finance_78529.pdf,BOQ Comparative Chart,"OSD, FREMAA",Internal,,Diganta Sarma,16-Jun-2026 11:17 AM,finsummary_78529.pdf (716.28 KB),16-Jun-2026,"INR 4,285,000",540.0,Diganta Sarma,16-Jun-2026 12:06 PM,RIPPAFLot2.pdf (740.00 KB),"Contract Amount exclusive of Provisional Sum, Contingency and GST.",1,292772,AMAR PRAYAS GOSTHI,11-Jan-2026 10:45 PM,Rejected-Technical,Quoted amount is higher than lowest quoted substantially responsive bidder,15-Jun-2026 04:48 PM,Department of Water Resources-Externally Aided Project||Flood and River Erosion Management Agency of Assam||WRD- ADB Funded Tenders,2025_WREAP_49481_1,NCS-AF-07-RP/Lot 2,"Engagement of NGO/ Firm for Implementation support of resettlement plan in four subproject areas (Lot 2- Sivasagar, Jorhat and Golaghat Districts)",1.0,292495.0,INFER DEVELOPMENT CONSULTING PRIVATE LIMITED,INR,"4,285,000","OSD, FREMAA",Internal,,Diganta Sarma,15-Jun-2026 04:48 PM,techsummary_78529.pdf (716.28 KB),AOC,"Engagement of NGO/ Firm for Implementation support of resettlement plan in four subproject areas (Lot 2- Sivasagar, Jorhat and Golaghat Districts)","Engagement of NGO/ Firm for Implementation support of resettlement plan in four subproject areas (Lot 2- Sivasagar, Jorhat and Golaghat Districts)",Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Tender,90.0,540.0,"Sivasagar, Jorhat and Golaghat Districts",781029.0,"Kopili Conference Hall, Assam Water Centre ","At 4th Floor, Assam Water Centre Basistha Chariali, NH 27 Guwahati, Assam-781029 ",26-Dec-2025 03:00 PM ,"Kopili Conference Hall, Assam Water Centre",No ,No,Department of Water Resources-Externally Aided Project||Flood and River Erosion Management Agency of Assam||WRD- ADB Funded Tenders,NCS-AF-07-RP/Lot 2,2025_WREAP_49481_1,Yes,Limited,Lump-sum,Services,1.0,No,No,Not Applicable,No,No,No,1.0,Addendum-I,Date,,19-Dec-2025 02:20 PM,12-Jan-2026 04:00 PM,19-Dec-2025 02:20 PM,12-Jan-2026 02:00 PM,19-Dec-2025 02:20 PM ,27-Dec-2025 02:00 PM ,29-Dec-2025 09:00 AM,12-Jan-2026 02:00 PM,0.0,Nil,Nil,No,"Chief Executive Officer, FREMAA","At 4th Floor, Assam Water Centre Basistha Chariali, NH 27 Guwahati, Assam-781029",0.0,No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,RFQ Document along with ToR,AOC
,,,,,,,,,,,,,,,,,,,2,292495,INFER DEVELOPMENT CONSULTING PRIVATE LIMITED,08-Jan-2026 03:51 PM,Accepted-AOC,"Contract Amount exclusive of Provisional Sum, Contingency and GST.",16-Jun-2026 12:07 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Pre-Bid Minutes and Replies of Queries,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Supporting Documents,AOC
,,,,,,,,,,,,,,,,,,,3,291639,Sarita Rani,03-Jan-2026 02:19 PM,Rejected-Technical,Quoted amount is higher than lowest quoted substantially responsive bidder,15-Jun-2026 04:48 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,AOC
