Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Director Design,Internal,,Jayanta Kumar Barman,15-Dec-2025 07:00 PM,16-Dec-2025 09:00 AM,techsummary_75798.pdf (155.36 KB),1,283340,DHRUBAJIT CHETIA,05-Oct-2025 03:13 PM,Rejected-Technical,Technically Non-Responsive,15-Dec-2025 07:00 PM,Department of Water Resources||Chief Engineer - DoWR,2025_DoWR_47494_1,SIVASAGAR/2025-26/SDMF/I,"Cleaning of Jamuna canal around Sivasagar, Borpukhuri (Under SDMF)",Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,09-Oct-2025 04:41 PM,,Director Design,Internal,,Jayanta Kumar Barman,04-Jun-2026 06:04 PM,finsummary_75798.pdf (273.96 KB),1.0,283482.0,TONMOY GOHAIN,INR,"81,590,396.99",Finance,All bids are opened for financial Evaluation.,Jayanta Kumar Barman,15-Feb-2026 03:36 PM,,BOQ Comparative Chart,04-Jun-2026,"INR 81,590,396.99",365.0,Jayanta Kumar Barman,04-Jun-2026 06:10 PM,FWO_Sivasagar_Jamua_canal.PDF (1536.00 KB),"Cleaning of Jamuna canal around Sivasagar, Borpukhuri (Under SDMF)",AOC,"Chief Engineer, WRD Assam","O/o the Chief Engineer, WRD Assam, Basistha Ghy 781029",12-Sep-2025 06:55 PM,07-Oct-2025 03:00 PM,12-Sep-2025 06:55 PM,07-Oct-2025 02:00 PM,NA ,NA ,22-Sep-2025 10:00 AM,07-Oct-2025 02:00 PM,16-Dec-2025 09:00 AM,Department of Water Resources||Chief Engineer - DoWR,SIVASAGAR/2025-26/SDMF/I,2025_DoWR_47494_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"Cleaning of Jamuna canal around Sivasagar, Borpukhuri (Under SDMF)","Cleaning of Jamuna canal around Sivasagar, Borpukhuri (Under SDMF)",Please refer Tender documents. ,NA ,"9,06,55,996",Civil Works,NA ,Tender,180.0,365.0,SIVASAGAR,785640.0,NA ,NA ,NA ,Guwahati,No ,No,1.0,SBI Bank,"18,13,120",Yes,percentage,2.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL BID,"20,000",Nil,Nil,No,AOC
,,,,,,,2,283194,M/S STAR CONSTRUCTIONS,07-Oct-2025 07:23 AM,Rejected-AOC,Not Qualified for AOC,04-Jun-2026 06:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,AOC
,,,,,,,3,283482,TONMOY GOHAIN,07-Oct-2025 11:58 AM,Accepted-AOC,AWARDED,04-Jun-2026 06:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
