S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,SBI Bank,20-Dec-2025 06:55 PM,03-Jan-2026 03:00 PM,20-Dec-2025 06:55 PM,03-Jan-2026 02:00 PM,NA ,NA ,26-Dec-2025 10:00 AM,03-Jan-2026 02:00 PM,07-Feb-2026 06:10 PM,Department of Water Resources||Chief Engineer - DoWR,KAMRUP METRO/2025-26/SOPD-G/I,2025_DoWR_49538_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"7,000",Nil,Nil,No,"6,77,437",Yes,percentage,2.0%,Nil,Nil,"Chief Engineer, WRD, Assam","O/o the Chief Engineer, WRD, Assam, AWC Basistha, Ghy 29",Anti-erosion measures to protect Dharapur area from the erosion of river Brahmaputra.,Anti-erosion measures to protect Dharapur area from the erosion of river Brahmaputra.,Please refer Tender documents. ,NA ,"3,38,71,857",Civil Works,NA ,Tender,180.0,365.0,KAMRUP METRO,781008.0,NA ,NA ,NA ,Guwahati,No ,No,1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,AOC,Director Design,Internal,,Jayanta Kumar Barman,07-Feb-2026 06:06 PM,07-Feb-2026 06:10 PM,techsummary_78588.pdf (235.07 KB),1,291171,M/S DEKA ENTERPRISE,03-Jan-2026 12:42 PM,Rejected-AOC,Not Qualified for AOC,16-Jun-2026 07:13 PM,1.0,291008.0,SIGNET ASSOCIATE,INR,"33,671,850.46",16-Jun-2026,"INR 33,671,850.46",365.0,Jayanta Kumar Barman,16-Jun-2026 07:13 PM,FWO_KAMRUP_METRO_Dharapur.pdf (2794.00 KB),Anti-erosion measures to protect Dharapur area from the erosion of river Brahmaputra.,Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,16-Jun-2026 07:02 PM,,BOQ Comparative Chart,Department of Water Resources||Chief Engineer - DoWR,2025_DoWR_49538_1,KAMRUP METRO/2025-26/SOPD-G/I,Anti-erosion measures to protect Dharapur area from the erosion of river Brahmaputra.,Director Design,Internal,,Jayanta Kumar Barman,16-Jun-2026 07:05 PM,finsummary_78588.pdf (297.77 KB),Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,07-Feb-2026 06:01 PM,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL BID,AOC,,,,,,,,2,291008,SIGNET ASSOCIATE,02-Jan-2026 01:40 PM,Accepted-AOC,AWARDED,16-Jun-2026 07:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
