Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Department of Water Resources||Chief Engineer - DoWR,2026_DoWR_50475_1,DHAKUAKHANA/2025-26/ PDNA/WORK/I,Restoration of damage embankment from Mohemari Gaon to Bantow Chamuah Pathar areas from the flood devastation of river Korha during 2022-23 on L/B embankment.,Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,12-Feb-2026 12:58 PM,,Director Design,Internal,,Jayanta Kumar Barman,11-Jun-2026 06:41 PM,finsummary_80342.pdf (316.51 KB),1.0,296202.0,BHARAT BHASKAR GOGOI,INR,"2,504,877.38",11-Jun-2026,"INR 2,504,877.38",180.0,Jayanta Kumar Barman,11-Jun-2026 07:18 PM,FWO_Dhakuakhana_Mohemari_Bantow_Chamuah.PDF (696.00 KB),Restoration of damage embankment from Mohemari Gaon to Bantow Chamuah Pathar areas from the flood devastation of river Korha during 2022-23 on L/B embankment.,Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,11-Jun-2026 06:33 PM,,BOQ Comparative Chart,Director Design,Internal,,Jayanta Kumar Barman,12-Feb-2026 01:01 PM,12-Feb-2026 01:05 PM,techsummary_80342.pdf (168.15 KB),1,296202,BHARAT BHASKAR GOGOI,01-Feb-2026 08:49 PM,Accepted-AOC,AWARDED,11-Jun-2026 07:18 PM,AOC,"50,153",Yes,percentage,2.0%,Nil,Nil,"Chief Engineer, WRD, Assam","O/o the Chief Engineer, WRD, Assam, AWC Basistha, Ghy 29",1.0,CORRECTED WORK ORDER,AOC,,1.0,SBI Bank,22-Jan-2026 09:00 AM,02-Feb-2026 03:00 PM,22-Jan-2026 09:00 AM,02-Feb-2026 02:00 PM,NA ,NA ,28-Jan-2026 10:00 AM,02-Feb-2026 02:00 PM,12-Feb-2026 01:05 PM,1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,500.0,Nil,Nil,No,Restoration of damage embankment from Mohemari Gaon to Bantow Chamuah Pathar areas from the flood devastation of river Korha during 2022-23 on L/B embankment.,Restoration of damage embankment from Mohemari Gaon to Bantow Chamuah Pathar areas from the flood devastation of river Korha during 2022-23 on L/B embankment.,Please refer Tender documents. ,NA ,"25,07,672",Civil Works,NA ,Tender,180.0,180.0,DHAKUAKHANA,787053.0,NA ,NA ,NA ,Guwahati,No ,No,Department of Water Resources||Chief Engineer - DoWR,DHAKUAKHANA/2025-26/ PDNA/WORK/I,2026_DoWR_50475_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,296200,SRI AMIYA KUMAR HAZARIKA,01-Feb-2026 08:22 PM,Rejected-AOC,Not Qualified for AOC,11-Jun-2026 07:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
