Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Additional Commissioner,Internal,,Dheeraj Patel,19-May-2026 03:55 PM,20-May-2026 02:00 PM,techsummary_81575.pdf (3989.32 KB),Technical,Bid has been opened and admitted for further evaluation,Chandan Talukdar,13-Mar-2026 02:29 PM,,Additional Commissioner,Internal,,Dheeraj Patel,29-May-2026 03:34 PM,finsummary_81575.pdf (3939.78 KB),1.0,301101.0,JOSHUA TOSHI KOLITA,INR,"1,700,000",Finance,Bid has been opened and admitted for further evaluation,Chandan Talukdar,20-May-2026 11:33 PM,,BOQ Comparative Chart,1,301174,A & B Enterprise,12-Mar-2026 01:18 PM,Rejected-AOC,Work allotted to the Lowest Bidder.,30-Jun-2026 02:29 PM,29-Jun-2026,"INR 1,700,000",60.0,Dheeraj Patel,30-Jun-2026 02:29 PM,40.pdf (485.00 KB),Guwahati Municipal Corporation,2026_GMC_51367_2,GER/CE/2504/2025/48 Date_17/02/2026,Construction of Various Toilets under ward no.40,AOC,Construction of Various Toilets under ward no.40,Construction of Various Toilets under ward no.40,Please refer Bid Document ,NA ,"20,00,000",Civil Works,NA ,Tender,120.0,NA ,Guwahati,781006.0,NA ,NA ,NA ,"Office of the Commissioner, GMC,",No ,No,"The Commissioner,GMC","Office of the Commissioner, GMC, Dispur-Ganeshguri, Guwahati-781006",1.0,SBI Bank,400.0,Nil,Nil,No,"40,000",Yes,fixed,,Nil,Nil,19-Feb-2026 06:50 PM,12-Mar-2026 03:00 PM,19-Feb-2026 06:55 PM,12-Mar-2026 02:00 PM,NA ,NA ,06-Mar-2026 10:00 AM,12-Mar-2026 02:00 PM,20-May-2026 02:00 PM,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Part,Guwahati Municipal Corporation,GER/CE/2504/2025/48 Date_17/02/2026,2026_GMC_51367_2,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,301101,JOSHUA TOSHI KOLITA,11-Mar-2026 07:55 PM,Accepted-AOC,Work allotted to the Lowest Bidder.,30-Jun-2026 02:29 PM,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Document Downloaded for the Portal,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,301057,MS APURBA ENTERPRISE,12-Mar-2026 01:13 PM,Rejected-AOC,Work allotted to the Lowest Bidder.,30-Jun-2026 02:29 PM,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid,,,,,,,,,,,,,,,AOC
