S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,SBI Bank,Procurement of flood fighting materials (PSC Porcupine) for Water Resources Department for the year 2025-26 (BTAD W.R Zone),Procurement of flood fighting materials (PSC Porcupine) for Water Resources Department for the year 2025-26 (BTAD W.R Zone).,Please refer Tender documents. ,NA ,"4,50,35,600",Supply of Materials,NA ,Tender,180.0,120.0,KAMRUP METRO,781008.0,NA ,NA ,NA ,Guwahati,No ,No,Department of Water Resources||Chief Engineer - DoWR,KAMRUP METRO/2025-26/FFM/X,2025_DoWR_47293_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,"9,00,712",Yes,percentage,2.0%,Nil,Nil,"9,000",Nil,Nil,No,04-Sep-2025 06:55 PM,24-Sep-2025 03:00 PM,04-Sep-2025 06:55 PM,24-Sep-2025 02:00 PM,NA ,NA ,13-Sep-2025 10:00 AM,24-Sep-2025 02:00 PM,27-Sep-2025 06:05 PM,"Chief Engineer, WRD, Assam","O/O Chief Engineer Water Resources Department, Basistha, Guwahati 29",AOC,1.0,282730.0,Maniraj Brahma,INR,"40,532,400",Finance,All bids are opened for financial Evaluation.,Jayanta Kumar Barman,15-Feb-2026 03:14 PM,,BOQ Comparative Chart,26-Jun-2026,"INR 40,532,400",120.0,Jayanta Kumar Barman,26-Jun-2026 07:44 PM,FWO_kamrup_metro_PSC_BTAD_I.PDF (403.00 KB),Procurement of flood fighting materials (PSC Porcupine) for Water Resources Department for the year 2025-26 (BTAD W.R Zone),Director Design,Internal,,Jayanta Kumar Barman,26-Jun-2026 07:41 PM,finsummary_75461.pdf (226.72 KB),Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,27-Sep-2025 01:15 PM,,Department of Water Resources||Chief Engineer - DoWR,2025_DoWR_47293_1,KAMRUP METRO/2025-26/FFM/X,Procurement of flood fighting materials (PSC Porcupine) for Water Resources Department for the year 2025-26 (BTAD W.R Zone),1,282730,Maniraj Brahma,24-Sep-2025 12:00 AM,Accepted-AOC,AWARDED,26-Jun-2026 07:44 PM,Director Design,Internal,,Jayanta Kumar Barman,27-Sep-2025 06:02 PM,27-Sep-2025 06:05 PM,techsummary_75461.pdf (131.83 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,282780,SURAJIT ROY,23-Sep-2025 11:42 PM,Rejected-AOC,Not Qualified for AOC,26-Jun-2026 07:44 PM,,,,,,,,AOC
