Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Director Design,Internal,,Jayanta Kumar Barman,20-Jun-2026 06:49 PM,finsummary_79147.pdf (301.03 KB),Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,17-Feb-2026 12:22 PM,,Department of Water Resources||Chief Engineer - DoWR,2025_DoWR_49796_1,SRIBHUMI/2025-26/PDNA/WORK/V,RESTORATION OF FLOOD DAMAGE OF EMBANKMENT ALONG THE RIGHT BANK OF RIVER LONGAI AT DIFFERENT REACHES.,1.0,292784.0,PINTU DEB,INR,"36,684,013.4",Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,20-Jun-2026 06:45 PM,,BOQ Comparative Chart,20-Jun-2026,"INR 36,684,013.4",180.0,Jayanta Kumar Barman,20-Jun-2026 06:57 PM,FWO_sribhumi_rb_longai.pdf (847.00 KB),RESTORATION OF FLOOD DAMAGE OF EMBANKMENT ALONG THE RIGHT BANK OF RIVER LONGAI AT DIFFERENT REACHES.,1,292786,MOINUL HOQUE,13-Jan-2026 03:00 AM,Rejected-AOC,Not Qualified for AOC,20-Jun-2026 06:58 PM,Director Design,Internal,,Jayanta Kumar Barman,17-Feb-2026 12:28 PM,17-Feb-2026 12:30 PM,techsummary_79147.pdf (133.11 KB),AOC,"7,000",Nil,Nil,No,31-Dec-2025 02:00 PM,13-Jan-2026 03:00 PM,31-Dec-2025 02:00 PM,13-Jan-2026 02:00 PM,NA ,NA ,06-Jan-2026 10:00 AM,13-Jan-2026 02:00 PM,17-Feb-2026 12:30 PM,"7,33,817",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,RESTORATION OF FLOOD DAMAGE OF EMBANKMENT ALONG THE RIGHT BANK OF RIVER LONGAI AT DIFFERENT REACHES.,RESTORATION OF FLOOD DAMAGE OF EMBANKMENT ALONG THE RIGHT BANK OF RIVER LONGAI AT DIFFERENT REACHES.,Please refer Tender documents. ,NA ,"3,66,90,836",Civil Works,NA ,Tender,180.0,180.0,SRIBHUMI,781034.0,NA ,NA ,NA ,Guwahati,No ,No,1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,Department of Water Resources||Chief Engineer - DoWR,SRIBHUMI/2025-26/PDNA/WORK/V,2025_DoWR_49796_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"Chief Engineer, Water Resources Department, Assam","O/O Chief Engineer Water Resources Department, Basistha, Guwahati 29",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,292784,PINTU DEB,13-Jan-2026 03:34 AM,Accepted-AOC,AWARDED,20-Jun-2026 06:58 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,AOC
