EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"6,52,000",Yes,fixed,,Nil,Nil,30-Jul-2025 02:00 PM,14-Aug-2025 02:30 PM,30-Jul-2025 02:00 PM,14-Aug-2025 02:00 PM,30-Jul-2025 02:00 PM ,01-Aug-2025 12:00 PM ,30-Jul-2025 02:00 PM,14-Aug-2025 02:00 PM,27-Oct-2025 04:25 PM,"CE, PWD(Roads), Assam, Chandmari, Ghy-3","CE, PWD(Roads), Assam, Chandmari, Ghy-3",1.0,Fee/PreQual/Technical,.pdf,BID COST_BID SECURITY,1.0,SBI Bank,Public Works Roads Department,CE/DEV/TB/60/2025-26/06 Dtd- 14.07.2025,2025_PWD_45926_106,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"6,520",Nil,Nil,No,"MMPPNA_RIDF_XXXI_25_26_154 Construction of road from (1) Sakomura ME School to Gharacia Satra via Lakhi Mandir, (2) Patiladoha Bowbari to Patiladoha Garoleti Kali Mandir and (3) Amguri Satra to Salbari Bongaigaon Road (Asom Mala Road) under Mukhya Ma","MMPPNA_RIDF_XXXI_25_26_154 Construction of road from (1) Sakomura ME School to Gharacia Satra via Lakhi Mandir, (2) Patiladoha Bowbari to Patiladoha Garoleti Kali Mandir and (3) Amguri Satra to Salbari Bongaigaon Road (Asom Mala Road) under Mukhya Ma",Please refer Tender Documents ,NA ,"3,25,79,000",Civil Works – Roads,NA ,Tender,180.0,365.0,Abhayapuri,783384.0,"CE, PWD(Roads), Assam, Chandmari, Ghy-3 ","CE, PWD(Roads), Assam, Chandmari, Ghy-3 ",04-Aug-2025 12:00 PM ,"CE, PWD(Roads), Assam, Chandmari, Ghy-3",No ,No,AOC,CE PWRD,Internal,,Manoj Kr. Nath,26-Jun-2026 12:57 PM,finsummary_73231.pdf (361.43 KB),26-Jun-2026,"INR 32,579,000",365.0,Manoj Kr. Nath,26-Jun-2026 12:59 PM,154AA.pdf (489.00 KB),Technical,Admitted,Utpal Chakravarty,27-Oct-2025 04:19 PM,,1.0,275576.0,Ritu Kumar Das,13-Aug-2025 04:43 PM,Accepted-AOC,Awarded,26-Jun-2026 12:59 PM,Finance,Admitted,Manoj Kr. Nath,26-Jun-2026 12:56 PM,,BOQ Comparative Chart,1.0,275576.0,Ritu Kumar Das,INR,"32,579,000",Public Works Roads Department,2025_PWD_45926_106,CE/DEV/TB/60/2025-26/06 Dtd- 14.07.2025,"MMPPNA_RIDF_XXXI_25_26_154 Construction of road from (1) Sakomura ME School to Gharacia Satra via Lakhi Mandir, (2) Patiladoha Bowbari to Patiladoha Garoleti Kali Mandir and (3) Amguri Satra to Salbari Bongaigaon Road (Asom Mala Road) under Mukhya Ma","CE (Roads), PWD, Assam",Internal,,Utpal Chakravarty,27-Oct-2025 04:20 PM,27-Oct-2025 04:25 PM,techsummary_73231.pdf (259.17 KB),AOC
,,,,,,,,,,,,,,,,,,,.pdf,BIDDING DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2.0,275593.0,SAURABH TALUKDAR,13-Aug-2025 03:08 PM,Rejected-Finance,Rejected,26-Jun-2026 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
