Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Principal Secretary-Department of Information Technology||Assam Electronics Development Corporation Ltd-DoIT||Store and Purchase - AMTRON - DoIT,AEDC/SDC/2025-26/15,2026_DoIT_50750_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,"1,50,000",No,fixed,,Nil,Nil,Managing Director,"Assam Electronics Dev. Corporation Ltd., Industrial Estate, Bamunimaidan, Guwahati 781021, Assam",Scaling of existing HPE Primera Storage,Scaling of existing HPE Primera Storage,Refer RFP ,NA ,,Information Technology,NA ,Tender,180.0,45.0,Guwahati,781021.0,NA ,NA ,NA ,AEDC Ltd,No ,No,1.0,Fee/PreQual/Technical,.pdf,Signed copy of RFP,03-Feb-2026 04:00 PM,24-Feb-2026 05:00 PM,03-Feb-2026 04:00 PM,24-Feb-2026 04:00 PM,NA ,NA ,06-Feb-2026 12:00 PM,24-Feb-2026 04:00 PM,25-Feb-2026 04:45 PM,1.0,SBI Bank,1.0,Date Extension Notice IV,Date,,"20,000",Nil,Nil,No,AOC,Finance,Financial Bids opened,Anjan Sarmah,25-Feb-2026 04:50 PM,,BOQ Comparative Chart,20-Apr-2026,"INR 9,784,563",45.0,Jyoti Prasad,04-Jun-2026 11:51 AM,WO.pdf (493.00 KB),1.0,297200.0,Inspirisys Solutions Limited,INR,"9,784,563",Technical,Technical Bids opened,Anjan Sarmah,24-Feb-2026 05:08 PM,,Sri Anjan Sarmah,Internal,,Jyoti Prasad,20-Apr-2026 04:36 PM,finsummary_80764.pdf (568.77 KB),Principal Secretary-Department of Information Technology||Assam Electronics Development Corporation Ltd-DoIT||Store and Purchase - AMTRON - DoIT,2026_DoIT_50750_1,AEDC/SDC/2025-26/15,Scaling of existing HPE Primera Storage,1,299255,Elite Computers & Communications Pvt. Ltd.,23-Feb-2026 06:16 PM,Rejected-Finance,L2,20-Apr-2026 04:36 PM,Sri Anjan Sarmah,Internal,,Jyoti Prasad,25-Feb-2026 04:44 PM,25-Feb-2026 04:45 PM,techsummary_80764.pdf (397.83 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD and Tender Processing Fee Particulars,,,,,,,,,,,,2.0,Financial Corrigendum,Financial Bid,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,298685,INFOSAIL TECHNOLOGY SERVICES PRIVATE LIMITED,24-Feb-2026 01:39 PM,Rejected-Finance,L3,20-Apr-2026 04:36 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Compliance and Technical Bid Documents,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,297200,Inspirisys Solutions Limited,17-Feb-2026 11:50 AM,Accepted-AOC,L1,04-Jun-2026 11:51 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,299343,Mayush IT Services Private Limited,24-Feb-2026 12:45 PM,Rejected-Finance,L4,20-Apr-2026 04:36 PM,,,,,,,,AOC
