Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
15-Jun-2026,"INR 9,882,608",90.0,Kashyap Ranjan Nath,20-Jun-2026 06:25 PM,WorkOrderPDNA99.pdf (310.00 KB),Public Works Roads Department,2026_PWD_51027_6,Tech/NDTRD/NIT/1028/4360 dated 10.02.2026,Nalbari_PDNA_2025-26_99,Finance,Admitted,Kashyap Ranjan Nath,15-Mar-2026 01:24 PM,,BOQ Comparative Chart,1.0,298687.0,APURBA BEZBARUAH,19-Feb-2026 10:25 PM,Not Admitted-Fee/PreQual/Technical,Others-Hard copy not submitted,06-Mar-2026 02:51 PM,EE,Internal,"EE, AE, JE",Kashyap Ranjan Nath,06-Mar-2026 03:05 PM,06-Mar-2026 03:30 PM,techsummary_81246.pdf (224.83 KB),Technical,Admitted,Jiban Jyoti Sarma,06-Mar-2026 02:51 PM,,EE,Internal,"EE, AE, JE",Kashyap Ranjan Nath,25-Mar-2026 06:08 PM,finsummary_81246.pdf (284.76 KB),1.0,298707.0,Sri Nripen Deka,INR,"9,882,608",AOC,Nalbari_PDNA_2025-26_99,"Recovery and Re-Construction of Rangia Dhamdhama Road, approach damage of Br. No. 20/1 and 15/2 under NDRF (PDNA-2022) for the year 2025-26.",Please refer Tender documents. ,NA ,"98,83,000",Civil Works – Roads,NA ,Tender,180.0,90.0,Nalbari,781335.0,NA ,NA ,NA ,"O/o the EE, PWRD, NDTRD, Nalbari",No ,No,1.0,SBI Bank,"1,98,000",Yes,fixed,,Nil,Nil,"1,980",Nil,Nil,No,Public Works Roads Department,Tech/NDTRD/NIT/1028/4360 dated 10.02.2026,2026_PWD_51027_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,13-Feb-2026 10:30 AM,21-Feb-2026 10:30 AM,13-Feb-2026 10:30 AM,20-Feb-2026 02:00 PM,13-Feb-2026 10:30 AM ,20-Feb-2026 12:00 PM ,13-Feb-2026 10:30 AM,20-Feb-2026 02:00 PM,06-Mar-2026 03:30 PM,1.0,Fee/PreQual/Technical,.pdf,BID_COST_BID_SECURITY,"EE, PWRD, NDTRD, Nalbari","O/o the EE, PWRD, NDTRD, Nalbari",AOC
,,,,,,,,,,,,,,,,2.0,298708.0,JOHNTI AHMED,19-Feb-2026 10:33 PM,Rejected-Finance,Rejected by CE,25-Mar-2026 06:08 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BIDDING_DOCUMENTS,,,AOC
,,,,,,,,,,,,,,,,3.0,298707.0,Sri Nripen Deka,20-Feb-2026 11:10 AM,Accepted-AOC,Awarded to L1 bidder,20-Jun-2026 06:25 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL_QUALIFICATIONS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FOB,,,AOC
