Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Department of Water Resources||Chief Engineer - DoWR,2025_DoWR_49448_1,UDALGURI/2025-16/SOPD-G/II,"Anti Erosion (A/E) measures to protect Golondi river on its R/B at Kajiya mati Barigaon, Daifam barigaon and Hazaragaon area in Udalguri district.",Director Design,Internal,,Jayanta Kumar Barman,06-Jun-2026 06:32 PM,finsummary_78483.pdf (307.94 KB),Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,17-Jan-2026 06:39 PM,,06-Jun-2026,"INR 29,996,388.28",365.0,Jayanta Kumar Barman,06-Jun-2026 06:36 PM,FWO_Udalguri_golondi_kajiya_mati.PDF (965.00 KB),"Anti Erosion (A/E) measures to protect Golondi river on its R/B at Kajiya mati Barigaon, Daifam barigaon and Hazaragaon area in Udalguri district.",Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,06-Jun-2026 06:28 PM,,BOQ Comparative Chart,1.0,290577.0,Sri Bishnu Basumatary,INR,"29,996,388.28",Director Design,Internal,,Jayanta Kumar Barman,22-Jan-2026 10:54 AM,22-Jan-2026 11:00 AM,techsummary_78483.pdf (144.64 KB),1,290555,LAJIK BRAHMA,27-Dec-2025 11:46 AM,Rejected-AOC,Not Qualified for AOC,06-Jun-2026 06:36 PM,AOC,18-Dec-2025 01:00 PM,02-Jan-2026 03:00 PM,18-Dec-2025 01:00 PM,02-Jan-2026 02:00 PM,NA ,NA ,24-Dec-2025 10:00 AM,02-Jan-2026 02:00 PM,22-Jan-2026 11:00 AM,"5,99,928",Yes,percentage,2.0%,Nil,Nil,"Anti Erosion (A/E) measures to protect Golondi river on its R/B at Kajiya mati Barigaon, Daifam barigaon and Hazaragaon area in Udalguri district.","Anti Erosion (A/E) measures to protect Golondi river on its R/B at Kajiya mati Barigaon, Daifam barigaon and Hazaragaon area in Udalguri district.",Please refer Tender documents. ,NA ,"2,99,96,388",Civil Works,NA ,Tender,180.0,365.0,UDALGURI,784509.0,NA ,NA ,NA ,Guwahati,No ,No,"Chief Engineer, Water Resources Department, Assam","O/O Chief Engineer Water Resources Department, Basistha, Guwahati 29",1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,"6,000",Nil,Nil,No,1.0,SBI Bank,Department of Water Resources||Chief Engineer - DoWR,UDALGURI/2025-16/SOPD-G/II,2025_DoWR_49448_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,290577,Sri Bishnu Basumatary,27-Dec-2025 11:18 AM,Accepted-AOC,AWARDED,06-Jun-2026 06:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,AOC
