Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Technical Documents,Bodoland Territorial Council-PWD||Director Cum CHD - PWD BTC,ACE-22/PWD/NIT/GOODWILL/25-26,2025_BTC_49248_21,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,Construction of CC Block road at No.1 Fasia village Harisinga VCDC under CMs Goodwill Mission Project under RIDF-XXXI of NABARD for the year 2025-26. (Package No. TN_68_UDL_RIDF-XXXI_21),Construction of CC Block road at No.1 Fasia village Harisinga VCDC under CMs Goodwill Mission Project under RIDF-XXXI of NABARD for the year 2025-26.,Please refer Tender documents. ,NA ,"99,99,938",Civil Works – Roads,NA ,Tender,180.0,270.0,Udalguri,784509.0,"O/o the Addl. Chief Engineer cum Director, PWD BTC ","O/o the Addl. Chief Engineer cum Director, PWD, BTC, Kokrajhar. ",26-Dec-2025 12:00 PM ,"O/o the Addl. Chief Engineer cum Director, PWD BTC",No ,No,"1,99,999",Yes,percentage,2.0%,Nil,Nil,"The Addl. Chief Engineer cum Director, PWD, BTC","O/o the Addl. Chief Engineer cum Director, PWD, BTC, Kokrajhar.","2,000",Nil,Nil,No,12-Dec-2025 10:00 AM,03-Jan-2026 11:00 AM,12-Dec-2025 10:00 AM,02-Jan-2026 02:00 PM,12-Dec-2025 10:00 AM ,02-Jan-2026 12:00 PM ,12-Dec-2025 10:00 AM,02-Jan-2026 02:00 PM,19-Feb-2026 11:00 AM,AOC,Jaga Mohan Basumatary,Internal,,Khanthai Basumatary,19-Feb-2026 09:04 AM,19-Feb-2026 11:00 AM,techsummary_78202.pdf (304.31 KB),1.0,289646.0,ABONG BRAHMA,29-Dec-2025 01:39 PM,Accepted-AOC,L1,17-Jun-2026 03:13 PM,1.0,289646.0,ABONG BRAHMA,INR,"9,999,000",17-Jun-2026,"INR 9,999,000",270.0,MILAN MAHILARY,17-Jun-2026 03:13 PM,WO_21_UDL.pdf (302.00 KB),Work order,Finance,Financial Opening,MILAN MAHILARY,17-Jun-2026 03:09 PM,,BOQ Comparative Chart,Bodoland Territorial Council-PWD||Director Cum CHD - PWD BTC,2025_BTC_49248_21,ACE-22/PWD/NIT/GOODWILL/25-26,Construction of CC Block road at No.1 Fasia village Harisinga VCDC under CMs Goodwill Mission Project under RIDF-XXXI of NABARD for the year 2025-26. (Package No. TN_68_UDL_RIDF-XXXI_21),Technical,Technical Opening,Khanthai Basumatary,19-Feb-2026 09:03 AM,,Jaga Mohan Basumatary,Internal,,MILAN MAHILARY,17-Jun-2026 03:11 PM,finsummary_78202.pdf (261.55 KB),AOC
,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2.0,290378.0,Amiya Kumar Brahma,30-Dec-2025 10:32 PM,Rejected-AOC,L2,17-Jun-2026 03:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3.0,290391.0,DHANANJAY BASUMATARY,30-Dec-2025 10:29 PM,Rejected-AOC,L3,17-Jun-2026 03:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
