Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"Chief Engineer, W.R. Department","O/O Chief Engineer Water Resources Department, Basistha, Guwahati 29",1.0,SBI Bank,04-Nov-2025 06:55 PM,15-Nov-2025 03:00 PM,04-Nov-2025 06:55 PM,15-Nov-2025 02:00 PM,NA ,NA ,08-Nov-2025 10:00 AM,15-Nov-2025 02:00 PM,05-Dec-2025 03:10 PM,"8,92,150",Yes,percentage,2.0%,Nil,Nil,"9,000",Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,Department of Water Resources||Chief Engineer - DoWR,HOJAI/2025-26/RIDF/I,2025_DoWR_47487_2,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,Construction of embankment on the right bank of river Kopilli from Jugimukh to Chaparmukh and Padumoni 1 No. colony to Changchaki on the left bank (Ph-III) Package 1.,Construction of embankment on the right bank of river Kopilli from Jugimukh to Chaparmukh and Padumoni 1 No. colony to Changchaki on the left bank (Ph-III) Package 1.,Please refer Tender documents. ,NA ,"4,46,07,513",Civil Works,NA ,Tender,180.0,365.0,HOJAI,782435.0,NA ,NA ,NA ,Guwahati,No ,No,AOC,1.0,286029.0,A R ASSOCIATES,INR,"40,146,553.28",Finance,All bids are opened for financial Evaluation.,Jayanta Kumar Barman,15-Feb-2026 03:39 PM,,BOQ Comparative Chart,30-Jun-2026,"INR 40,146,553.28",365.0,Jayanta Kumar Barman,30-Jun-2026 07:38 PM,FWO_HOJAI_Jugimukh_Chaparmukh_1.pdf (1322.00 KB),Construction of embankment on the right bank of river Kopilli from Jugimukh to Chaparmukh and Padumoni 1 No. colony to Changchaki on the left bank (Ph-III) Package 1.,Department of Water Resources||Chief Engineer - DoWR,2025_DoWR_47487_2,HOJAI/2025-26/RIDF/I,Construction of embankment on the right bank of river Kopilli from Jugimukh to Chaparmukh and Padumoni 1 No. colony to Changchaki on the left bank (Ph-III) Package 1.,Technical,All bids are opened for technical evaluation.,Jayanta Kumar Barman,04-Dec-2025 05:25 PM,,Director Design,Internal,,Jayanta Kumar Barman,30-Jun-2026 07:26 PM,finsummary_76986.pdf (283.19 KB),Director Design,Internal,,Jayanta Kumar Barman,05-Dec-2025 03:07 PM,05-Dec-2025 03:10 PM,techsummary_76986.pdf (162.96 KB),1,286029,A R ASSOCIATES,13-Nov-2025 01:02 PM,Accepted-AOC,AWARDED,30-Jun-2026 07:38 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,286045,Md Shoiab Khan,14-Nov-2025 02:23 PM,Rejected-Technical,Technically Non-Responsive,05-Dec-2025 03:07 PM,AOC
