Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
Sri Santanu Deuri Joint Director TS Representative of Commissioner of Industries and Commerce Assam,Internal,K K Bungrung Rep of CE APWDB H Deka AFS FA Oo the CIC and FA AIIDC J P Deuri Rep of GM AIDC Ltd R Borthakur Rep of GM ASIDC G C Rabha EE I and C and DGM C AIIDC,Apurba Kumar Kalita,18-Jun-2026 12:49 PM,18-Jun-2026 03:00 PM,techsummary_82688.pdf (993.68 KB),1.0,304330.0,MS UNIQUE CONSTRUCTION AND SUPPLY,INR,"22,200,013",Technical,Technical Bid Opening Summery,Apurba Kumar Kalita,02-Jun-2026 05:05 PM,technical_82688.pdf,Sri Narendra Kumar Shah Chairman cum CIC,Internal,K K Bungrung AEE APWD H Deka FA Oo CIC and FA AIIDC J P Deuri DGM T AIIDC R K Mahanta DM C ASIDC G C Rabha Member Secretary cum Executive Engineer,Apurba Kumar Kalita,23-Jun-2026 04:54 PM,finsummary_82688.pdf (1323.86 KB),Finance,Financial Bid Opening Summery,Apurba Kumar Kalita,18-Jun-2026 03:22 PM,finance_82688.pdf,BOQ Comparative Chart,1.0,304442.0,Dipen Ch. Das,01-Jun-2026 04:37 PM,Rejected-Finance,Refer Minutes of meeting,23-Jun-2026 04:54 PM,24-Jun-2026,"INR 22,200,013",545.0,Apurba Kumar Kalita,24-Jun-2026 04:52 PM,AOC.pdf (769.00 KB),AOC,Industries and Commerce Department||Commissioner Industries and Commerce Assam||Office of the Ex Engineer,2026_ICD_52268_1,EE-G/51/2022/55/82-86 Dated 08/05/2026,Construction of RCC Building Ground Floor for ADCI Office at Chepakhowa Sadiya Dist Tinsukia With future provision of RCC First Floor,AOC,"4,43,996",Yes,fixed,,Nil,Nil,"4,500",Nil,Nil,No,Construction of RCC Building Ground Floor for ADCI Office at Chepakhowa Sadiya Dist Tinsukia With future provision of RCC First Floor,Construction of RCC Building Ground Floor for ADCI Office at Chepakhowa Sadiya Dist Tinsukia With future provision of RCC First Floor,Please refer Tender documents. ,NA ,"2,21,99,791",Civil Works - Building,NA ,Tender,180.0,545.0,"Chepakhowa, Sadiya",786155.0,NA ,NA ,NA ,"IE, Bamunimaidam, Guwahati-21",No ,No,11-May-2026 02:00 PM,02-Jun-2026 02:30 PM,11-May-2026 02:00 PM,02-Jun-2026 02:00 PM,15-May-2026 10:00 AM ,25-May-2026 02:00 PM ,26-May-2026 10:00 AM,02-Jun-2026 02:00 PM,18-Jun-2026 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Tender Processing Fee and EMD,"EE, ICD","IE, Bamunimaidam, Guwahati-21",Industries and Commerce Department||Commissioner Industries and Commerce Assam||Office of the Ex Engineer,EE-G/51/2022/55/82-86 Dated 08/05/2026,2026_ICD_52268_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,304373.0,M/S PIONEER ELECTRONICS,01-Jun-2026 05:12 PM,Rejected-Finance,Refer Minutes of meeting,23-Jun-2026 04:54 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed Bid Document,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,304330.0,MS UNIQUE CONSTRUCTION AND SUPPLY,01-Jun-2026 02:02 PM,Accepted-AOC,Recommended lowest valid bidder,24-Jun-2026 04:53 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical papers,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ/Price bid,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form Of Bid (FOB),,,,,,,,,,,,,,,,,,,AOC
