S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,SBI Bank,CE/EAP/ADRHARDP/Corr_I/Pkg.3 Upgradation and 4_year maintenance of Corridor1 From Km 98.000_Thaiplungdisa to Km 122.000_Dikrangso,Package No. CE/EAP/ADRHARDP/Corr_I/Pkg.3 Upgradation and 4-year maintenance of Corridor_1 From Km 98.000 (Thaiplungdisa) to Km 122.000_Dikrangso_Excluding the section from Km 100.950 to Km 105.400_4.450 km under ADRHARDP,Please refer Tender documents. ,NA ,,Civil Works – Roads,NA ,Tender,120.0,900.0,Dima Hasao,788819.0,"O/o The Chief Engineer,(EAP)PWRD,Assam ","O/o The Chief Engineer,(EAP)PWRD,Assam,Fatasil Ambari, Guwahati-781025 ",29-Apr-2025 11:30 AM ,"O/o The Chief Engineer,(EAP)PWRD,Assam",No ,No,1.0,Fee/PreQual/Technical,.pdf,EMD and Tender Fee receipt,19-Apr-2025 01:00 PM,20-May-2025 02:30 PM,19-Apr-2025 01:00 PM,20-May-2025 02:00 PM,19-Apr-2025 01:00 PM ,29-Apr-2025 11:30 AM ,19-Apr-2025 01:00 PM,20-May-2025 02:00 PM,09-Sep-2025 12:30 PM,"15,000",Nil,Nil,No,"2,49,00,000",Yes,fixed,,Nil,Nil,"Chief Engineer,(EAP)PWRD,Assam,Fatasil Ambari,Guwa","O/o The Chief Engineer,(EAP)PWRD,Assam,Fatasil Ambari, Guwahati-781025",Public Works Roads Department,CE/EAP/ADRHARDP/ NIT/26/2025/14,2025_PWD_44098_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,Public Works Roads Department,2025_PWD_44098_1,CE/EAP/ADRHARDP/ NIT/26/2025/14,CE/EAP/ADRHARDP/Corr_I/Pkg.3 Upgradation and 4_year maintenance of Corridor1 From Km 98.000_Thaiplungdisa to Km 122.000_Dikrangso,13-Mar-2026,"INR 974,991,525",900.0,SNEHA SAIKIA,20-Jun-2026 04:56 PM,WorkorderPkg3.pdf (163.00 KB),Package No. CE/EAP/ADRHARDP/Corr-1/Pkg3,Chief Engineer EAP,Internal,,SNEHA SAIKIA,06-Jan-2026 05:32 PM,finsummary_70338.pdf (142.89 KB),Technical,Technical Bids have been opened,SNEHA SAIKIA,20-May-2025 02:49 PM,,1.0,267537.0,Anusha Projects Private Limited,INR,"974,991,525","Chief Engineer,(EAP) PWRD,Assam",Internal,,SNEHA SAIKIA,02-Sep-2025 05:46 PM,09-Sep-2025 12:30 PM,techsummary_70338.pdf (81.28 KB),1.0,268556.0,ABCI Infrastructures Pvt Ltd.,20-May-2025 01:07 PM,Rejected-AOC,L5,20-Jun-2026 04:56 PM,Finance,Financial Bids have been opened,SNEHA SAIKIA,09-Sep-2025 12:46 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,268541.0,ANUPAM NIRMAN PVT. LTD.,20-May-2025 12:42 PM,Rejected-AOC,L4,20-Jun-2026 04:56 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,267537.0,Anusha Projects Private Limited,20-May-2025 01:57 PM,Accepted-AOC,L1,20-Jun-2026 04:56 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,ESMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,268530.0,DCC Infra Projects Ltd.,20-May-2025 01:46 PM,Rejected-AOC,L3,20-Jun-2026 04:56 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (Technical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,268550.0,Dipayan Paul and Chanchal Paul JV,20-May-2025 12:34 PM,Rejected-Technical,Non_Responsive,02-Sep-2025 05:46 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,266046.0,SHREE GAUTAM CONSTRUCTION CO. LTD.,20-May-2025 01:50 PM,Rejected-AOC,L2,20-Jun-2026 04:56 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (Financial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
