EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"3,42,538",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,"4,000",Nil,Nil,No,Department of Water Resources||Chief Engineer - DoWR,MORIGAON/2025-26/SOPD-G/X,2026_DoWR_51237_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"Chief Engineer, Water Resources Department","Assam Water Centre,O/o the Chief Engineer, WRD, 5th Floor, Basistha, Guwahati-29.",1,Fee/PreQual/Technical,.pdf,Technical Documents,16-Feb-2026 06:55 PM,25-Feb-2026 03:00 PM,16-Feb-2026 06:55 PM,25-Feb-2026 02:00 PM,NA ,NA ,20-Feb-2026 10:00 AM,25-Feb-2026 02:00 PM,09-Mar-2026 10:20 AM,Construction of Flood Embankment on Right Bank of River Pokoria from Tetliguri to Patekibori.(Ph IV)Package No. 01,Construction of Flood Embankment on Right Bank of River Pokoria from Tetliguri to Patekibori.(Ph IV)Package No. 01,Please refer Tender documents. ,NA ,"1,71,26,894",Civil Works,NA ,Tender,180.0,180.0,"Teteliguri, Morigaon",782411.0,NA ,NA ,NA ,Guwahati,No ,No,AOC,1,299342,KEA CONSULTANTS PRIVATE LIMITED,24-Feb-2026 11:26 AM,Rejected-AOC,Not Qualified for AOC,24-Jun-2026 07:02 PM,Director Design,Internal,,Jayanta Kumar Barman,09-Mar-2026 10:16 AM,09-Mar-2026 10:20 AM,techsummary_81435.pdf (137.15 KB),1.0,299431.0,Progressive Enterprises,INR,"17,076,894.4",24-Jun-2026,"INR 17,076,894.4",180.0,Jayanta Kumar Barman,24-Jun-2026 07:02 PM,FWO_morigaon_pokoria_patekibori_IV.PDF (513.00 KB),Construction of Flood Embankment on Right Bank of River Pokoria from Tetliguri to Patekibori.(Ph IV)Package No. 01,Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,24-Apr-2026 12:41 PM,,BOQ Comparative Chart,Director Design,Internal,,Jayanta Kumar Barman,24-Jun-2026 06:59 PM,finsummary_81435.pdf (274.45 KB),Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,09-Mar-2026 09:38 AM,,Department of Water Resources||Chief Engineer - DoWR,2026_DoWR_51237_1,MORIGAON/2025-26/SOPD-G/X,Construction of Flood Embankment on Right Bank of River Pokoria from Tetliguri to Patekibori.(Ph IV)Package No. 01,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,299431,Progressive Enterprises,24-Feb-2026 07:08 PM,Accepted-AOC,AWARDED,24-Jun-2026 07:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
