Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Director Design,Internal,,Jayanta Kumar Barman,13-Feb-2026 12:43 PM,13-Feb-2026 12:45 PM,techsummary_80307.pdf (133.83 KB),1,295074,M/S. M.P. AGARWALLA,29-Jan-2026 01:20 PM,Accepted-AOC,AWARDED,13-Jun-2026 04:31 PM,Department of Water Resources||Chief Engineer - DoWR,2026_DoWR_50439_1,GOLAGHAT/2025-26/M AND R/I,M and R to Construction of embankment along L/B of river Dhansiri at Lurukihat and Mitham Chapori for the year 2025-26.,Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,11-Feb-2026 05:55 PM,,Director Design,Internal,,Jayanta Kumar Barman,13-Jun-2026 04:27 PM,finsummary_80307.pdf (315.38 KB),1.0,295074.0,M/S. M.P. AGARWALLA,INR,"108,871,077.5",Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,19-May-2026 12:08 PM,,BOQ Comparative Chart,13-Jun-2026,"INR 108,871,077.5",120.0,Jayanta Kumar Barman,13-Jun-2026 04:31 PM,FWO_Golaghat_Dhansiri_Lurukihat.PDF (1859.00 KB),M and R to Construction of embankment along L/B of river Dhansiri at Lurukihat and Mitham Chapori for the year 2025-26.,AOC,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Technical Documents,"21,77,997",Yes,percentage,2.0%,Nil,Nil,M and R to Construction of embankment along L/B of river Dhansiri at Lurukihat and Mitham Chapori for the year 2025-26.,M and R to Construction of embankment along L/B of river Dhansiri at Lurukihat and Mitham Chapori for the year 2025-26.,Please refer Tender documents. ,NA ,"10,88,99,854",Civil Works,NA ,Tender,180.0,120.0,"Lurukihat, Golaghat",785621.0,NA ,NA ,NA ,Guwahati,No ,No,Department of Water Resources||Chief Engineer - DoWR,GOLAGHAT/2025-26/M AND R/I,2026_DoWR_50439_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"Chief Engineer, Water Resources Department","Assam Water Centre, O/o the Chief Engineer, WRD, 5th Floor, Basistha, Guwahati-29.","20,000",Nil,Nil,No,21-Jan-2026 06:55 PM,30-Jan-2026 03:00 PM,21-Jan-2026 06:55 PM,30-Jan-2026 02:00 PM,NA ,NA ,26-Jan-2026 10:00 AM,30-Jan-2026 02:00 PM,13-Feb-2026 12:45 PM,AOC
,,,,,,,2,295078,Nirmal Kumar Agarwalla,30-Jan-2026 12:21 PM,Rejected-AOC,Not Qualified for AOC,13-Jun-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
