Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Department of Water Resources||Chief Engineer - DoWR,MORIGAON/2025-26/SOPD-G/VII,2026_DoWR_50981_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,TECHNICAL DOCUMENTS,1.0,SBI Bank,Construction of Flood Embankment on Right Bank of River Pokoria from Teteliguri to Patekibori.(Ph I),Construction of Flood Embankment on Right Bank of River Pokoria from Teteliguri to Patekibori.(Ph I),Please refer Tender documents. ,NA ,"4,92,05,842",Civil Works,NA ,Tender,180.0,180.0,"Teteliguri, Morigaon",782411.0,NA ,NA ,NA ,Guwahati,No ,No,"Chief Engineer, Water Resources Department","Assam Water Centre, O/o the Chief Engineer, WRD, 5th Floor, Basistha, Guwahati-29.","9,84,117",Yes,percentage,2.0%,Nil,Nil,09-Feb-2026 06:55 PM,17-Feb-2026 03:00 PM,09-Feb-2026 06:55 PM,17-Feb-2026 02:00 PM,NA ,NA ,13-Feb-2026 10:00 AM,17-Feb-2026 02:00 PM,09-Mar-2026 10:00 AM,"10,000",Nil,Nil,No,AOC,1.0,298358.0,Progressive Enterprises,INR,"49,155,842.64",Finance,All Bids are opened for Financial Evaluation,Jayanta Kumar Barman,24-Apr-2026 12:44 PM,,BOQ Comparative Chart,24-Jun-2026,"INR 49,155,842.64",180.0,Jayanta Kumar Barman,24-Jun-2026 06:54 PM,MORIGAON_pokoria_patekibori_I.PDF (540.00 KB),Construction of Flood Embankment on Right Bank of River Pokoria from Teteliguri to Patekibori.(Ph I),Director Design,Internal,,Jayanta Kumar Barman,24-Jun-2026 06:51 PM,finsummary_81121.pdf (318.45 KB),Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,09-Mar-2026 09:32 AM,,Department of Water Resources||Chief Engineer - DoWR,2026_DoWR_50981_1,MORIGAON/2025-26/SOPD-G/VII,Construction of Flood Embankment on Right Bank of River Pokoria from Teteliguri to Patekibori.(Ph I),1,297922,KEA CONSULTANTS PRIVATE LIMITED,17-Feb-2026 11:47 AM,Rejected-AOC,Not Qualified for AOC,24-Jun-2026 06:54 PM,"Director Design, WRD, Assam",Internal,,Jayanta Kumar Barman,09-Mar-2026 09:57 AM,09-Mar-2026 10:00 AM,techsummary_81121.pdf (137.31 KB),AOC
,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,298358,Progressive Enterprises,17-Feb-2026 11:49 AM,Accepted-AOC,AWARDED,24-Jun-2026 06:54 PM,,,,,,,,AOC
