Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Director Design,Internal,,Jayanta Kumar Barman,30-Oct-2025 11:14 AM,30-Oct-2025 11:15 AM,techsummary_75871.pdf (129.50 KB),1,283740,Maa Kamakhya art,07-Oct-2025 12:34 PM,Accepted-AOC,AWARDED,01-Jun-2026 01:54 PM,Department of Water Resources||Chief Engineer - DoWR,2025_DoWR_47554_1,DIBRUGARH/2025-26/RIDF/III,"R/S to Tengakhat Bund upto Jokai RF on The R/B Of River Buridehing, Package 2.",Director Design,Internal,,Jayanta Kumar Barman,01-Jun-2026 01:39 PM,finsummary_75871.pdf (350.96 KB),Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,09-Oct-2025 04:26 PM,,Finance,All bids are opened for financial Evaluation.,Jayanta Kumar Barman,15-Feb-2026 03:22 PM,,BOQ Comparative Chart,01-Jun-2026,"INR 45,718,926.16",365.0,Jayanta Kumar Barman,01-Jun-2026 01:54 PM,FWO_dibrugarh_Tengakhat_bund_2.pdf (1721.00 KB),"R/S to Tengakhat Bund upto Jokai RF on The R/B Of River Buridehing, Package 2.",1.0,283740.0,Maa Kamakhya art,INR,"45,718,926.16",AOC,"9,14,399",Yes,percentage,2.0%,Nil,Nil,"9,000",Nil,Nil,No,1.0,SBI Bank,16-Sep-2025 06:55 PM,07-Oct-2025 03:00 PM,16-Sep-2025 06:55 PM,07-Oct-2025 02:00 PM,NA ,NA ,23-Sep-2025 10:00 AM,07-Oct-2025 02:00 PM,30-Oct-2025 11:15 AM,1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,"R/S to Tengakhat Bund upto Jokai RF on The R/B Of River Buridehing, Package 2.","R/S to Tengakhat Bund upto Jokai RF on The R/B Of River Buridehing, Package 2.",Please refer Tender documents. ,NA ,"4,57,19,942",Civil Works,NA ,Tender,180.0,365.0,DIBRUGARH,786001.0,NA ,NA ,NA ,GUWAHATI,No ,No,Department of Water Resources||Chief Engineer - DoWR,DIBRUGARH/2025-26/RIDF/III,2025_DoWR_47554_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,Chief Engineer Water Resources Department,"O/O Chief Engineer Water Resources Department, Basistha, Guwahati 29",AOC
,,,,,,,2,283708,M/S S.A. ENTERPRISE,07-Oct-2025 11:05 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,01-Jun-2026 01:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
