Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
Finance,Report of Financial Evaluation Committee,SANJIB KUMAR DUTTA,15-Jun-2026 12:06 PM,finance_80396.pdf,BOQ Comparative Chart,1.0,296467.0,KUMARS GREEN RESORTS AND WEDDING LAWN,04-Feb-2026 07:39 PM,Accepted-AOC,Highest quoted rate,17-Jun-2026 02:14 PM,Prabhash Ch. Sarma,Internal,"RL Das, Tina Mitra",SANJIB KUMAR DUTTA,10-Mar-2026 12:37 PM,10-Mar-2026 03:30 PM,techsummary_80396.pdf (182.89 KB),Technical,Report of Technical Evaluation Committee,SANJIB KUMAR DUTTA,10-Mar-2026 12:34 PM,technical_80396.pdf,Bhaskar Jyoti Baruah,Internal,"Kishore Dutta, Kushal Sarma",SANJIB KUMAR DUTTA,15-Jun-2026 12:11 PM,finsummary_80396.pdf (176.39 KB),1.0,296467.0,KUMARS GREEN RESORTS AND WEDDING LAWN,INR,"45,000",16-Jun-2026,"INR 45,000",3650.0,SANJIB KUMAR DUTTA,17-Jun-2026 02:14 PM,LOIPrashaantiYatriniwasBarpeta.pdf (179.00 KB),Letter of Intent,Department of Tourism||Assam Tourism Development Corporation Ltd. - DOT||HO-Guwahati-ATDCL - DOT,2026_DOT_50514_1,ATDC.2822/2017/Pt-II/4388 dtd. 17.01.2026,"Development, Operation and Management Contract for running the Prashaanti Yatriniwas, Barpeta",AOC,"Managing Director, ATDC Ltd.","Office of the Managing Director, ATDC Ltd., Guwahati-8",22-Jan-2026 05:00 PM,06-Feb-2026 01:00 PM,22-Jan-2026 05:10 PM,05-Feb-2026 02:00 PM,NA ,NA ,22-Jan-2026 05:10 PM,05-Feb-2026 02:00 PM,10-Mar-2026 03:30 PM,1.0,Fee/PreQual/Technical,.pdf,Detail Notice Inviting Bid,"1,000",Nil,Nil,No,"Development, Operation and Management Contract for running the Prashaanti Yatriniwas, Barpeta","Development, Operation and Management Contract for running the Prashaanti Yatriniwas, Barpeta",Please refer Tender documents. ,NA ,"30,000",Hotel/ Catering,NA ,Tender,180.0,3650.0,Barpeta,781301.0,Guwahati ,"Office of the Managing Director, ATDC Ltd., Guwahati-8 ",28-Jan-2026 12:00 PM ,Guwahati,No ,No,"7,200",No,fixed,,Nil,Nil,Department of Tourism||Assam Tourism Development Corporation Ltd. - DOT||HO-Guwahati-ATDCL - DOT,ATDC.2822/2017/Pt-II/4388 dtd. 17.01.2026,2026_DOT_50514_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,1.0,SBI Bank,AOC
,,,,,,2.0,296567.0,M/S Bibekananda Das,05-Feb-2026 12:35 PM,Rejected-AOC,Lowest quoted rate,17-Jun-2026 02:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Bid Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,3.0,296528.0,Nabarun Baruah,05-Feb-2026 01:09 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,10-Mar-2026 12:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Qualification of the Bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Form of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
