Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Industries and Commerce Department||Assam Gas Company Ltd - ICD,C and P/RB and C/25-26/03,2025_ICD_49088_1,Yes,Open Tender,Works,Services,2.0,No,No,Online,No,No,No,"3,200",Nil,Nil,Yes,06-Dec-2025 01:00 PM,06-Jan-2026 10:30 AM,06-Dec-2025 02:00 PM,05-Jan-2026 03:30 PM,06-Dec-2025 02:00 PM ,18-Dec-2025 02:00 PM ,06-Dec-2025 02:00 PM,05-Jan-2026 03:30 PM,13-Feb-2026 01:50 PM,Sr. Manager C and P,"Assam Gas Company Limited, Duliajan Dist. Dibrugarh Pin- 786602 , Assam",1.0,SBI Bank,"3,20,000",Yes,fixed,,Nil,Nil,TRANSPORTATION OF CNG THROUGH CNG FUELLED HEAVY COMMERCIAL VEHICLE,TRANSPORTATION OF CNG THROUGH CNG FUELLED HEAVY COMMERCIAL VEHICLE,Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Rate Contract,120.0,365.0,Operational areas of AGCL,786602.0,AGCL Guwahati Office or Online ,"Assam Gas Company Ltd. Central Mall, 6th Floor GS Road, Christian Basti Guwahati, Pin - 781005 ",15-Dec-2025 11:00 AM ,Duliajan,No ,No,1.0,Fee/PreQual/Technical,.pdf,NIT Document,1.0,Corrigendum 2,Date,,AOC,Industries and Commerce Department||Assam Gas Company Ltd - ICD,2025_ICD_49088_1,C and P/RB and C/25-26/03,TRANSPORTATION OF CNG THROUGH CNG FUELLED HEAVY COMMERCIAL VEHICLE,03-Jun-2026,"INR 13,842,681.3",365.0,Utpal Borgohain,03-Jun-2026 03:15 PM,AoCHCV.pdf (355.00 KB),Work Order Awarded to L1 bidder M/s Dharam Chand Jain,1.0,289562.0,M/s DHARAM CHAND JAIN,INR,"13,842,681.3",Technical,A total of 11 bids received for the tender.,Utpal Borgohain,13-Feb-2026 01:36 PM,,Managing Director,Internal,Approved by Purchase Committee,Utpal Borgohain,03-Jun-2026 02:50 PM,finsummary_77913.pdf (2012.08 KB),Managing Director,Internal,"R Baruah, J K Bora, P J Dutta, D Phukan, D Barman, S Dhar, U Doimari, U K Borgohain",Utpal Borgohain,13-Feb-2026 01:49 PM,13-Feb-2026 01:50 PM,techsummary_77913.pdf (481.08 KB),1,290425,ASSAM BULK CARRIER,27-Dec-2025 10:37 AM,Rejected-Finance,Rejected as L2 bidder,03-Jun-2026 02:50 PM,Finance,Financial bids opened for technically qualified bidders,Utpal Borgohain,03-Jun-2026 02:24 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ Document,2.0,Corrigendum 1,Other,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,291496,Expo Trans India Limited,05-Jan-2026 12:18 PM,Rejected-Finance,Rejected as L5 bidder,03-Jun-2026 02:50 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,290910,GOLDEN TRANSPORT,05-Jan-2026 01:53 PM,Rejected-Technical,Technically Not Qualified,13-Feb-2026 01:49 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,289562,M/s DHARAM CHAND JAIN,30-Dec-2025 05:41 PM,Accepted-AOC,Accepted as L1 bidder,03-Jun-2026 03:16 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,290946,M/s N D Enterprise,30-Dec-2025 05:34 PM,Rejected-Finance,Rejected as L7 bidder,03-Jun-2026 02:50 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,290826,M/S PANCHAMI BORDOLOI,27-Dec-2025 11:08 PM,Rejected-Finance,Rejected as L8 bidder,03-Jun-2026 02:50 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,291952,M/S PROTYUSH PRADIP NATH,05-Jan-2026 01:47 PM,Rejected-Technical,Technically Not Qualified.,13-Feb-2026 01:49 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,290762,PINKU PHUKAN,02-Jan-2026 11:47 AM,Rejected-Finance,Rejected as L6 bidder,03-Jun-2026 02:50 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,291896,REKHA NIRMOLIA CHANGMAI,05-Jan-2026 02:39 PM,Rejected-Finance,Rejected as L3 bidder,03-Jun-2026 02:50 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,290923,SEEMA BORAH,05-Jan-2026 01:38 PM,Rejected-Finance,Rejected as L4 bidder,03-Jun-2026 02:50 PM,,,,,,,AOC
