Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Director Design,Internal,,Jayanta Kumar Barman,06-Jan-2026 11:31 AM,06-Jan-2026 11:40 AM,techsummary_78475.pdf (146.23 KB),1,290803,M/S. M.P. AGARWALLA,30-Dec-2025 04:40 PM,Accepted-AOC,AWARDED,13-Jun-2026 04:47 PM,Department of Water Resources||Chief Engineer - DoWR,2025_DoWR_49441_1,GOLAGHAT/2025-26/SOPD-G/I,Construction of embankment from Abhongpathar to Shyam Gaon on the left bank of river Doyang.,Director Design,Internal,,Jayanta Kumar Barman,13-Jun-2026 04:45 PM,finsummary_78475.pdf (312.46 KB),Technical,All Bids are opened for Technical Evaluation,Jayanta Kumar Barman,06-Jan-2026 11:17 AM,,Finance,All bids are opened for financial Evaluation.,Jayanta Kumar Barman,15-Feb-2026 03:47 PM,,BOQ Comparative Chart,13-Jun-2026,"INR 48,461,025.8",365.0,Jayanta Kumar Barman,13-Jun-2026 04:47 PM,FWO_Golaghat_abhongpathar.PDF (491.00 KB),Construction of embankment from Abhongpathar to Shyam Gaon on the left bank of river Doyang.,1.0,290803.0,M/S. M.P. AGARWALLA,INR,"48,461,025.8",AOC,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,TECHNICAL BID,18-Dec-2025 06:55 PM,02-Jan-2026 03:00 PM,18-Dec-2025 06:55 PM,02-Jan-2026 02:00 PM,NA ,NA ,23-Dec-2025 10:00 AM,02-Jan-2026 02:00 PM,06-Jan-2026 11:40 AM,"Chief Engineer, Water Resources Department, Assam","O/O Chief Engineer Water Resources Department, Basistha, Guwahati 29",Department of Water Resources||Chief Engineer - DoWR,GOLAGHAT/2025-26/SOPD-G/I,2025_DoWR_49441_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,Construction of embankment from Abhongpathar to Shyam Gaon on the left bank of river Doyang.,Construction of embankment from Abhongpathar to Shyam Gaon on the left bank of river Doyang.,Please refer Tender documents. ,NA ,"4,84,73,818",Civil Works,NA ,Tender,180.0,365.0,GOLAGHAT,785621.0,NA ,NA ,NA ,Guwahati,No ,No,"9,69,476",Yes,percentage,2.0%,Nil,Nil,"10,000",Nil,Nil,No,AOC
,,,,,,,2,290804,Nirmal Kumar Agarwalla,30-Dec-2025 04:33 PM,Rejected-AOC,Not Qualified for AOC,13-Jun-2026 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
