S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,303988.0,MANAS DAS,26-May-2026 11:53 PM,Accepted-AOC,Awarded,10-Jun-2026 02:16 PM,"K.C.Boro, S.E.",Internal,,Chiranjiv Ray,03-Jun-2026 04:51 PM,04-Jun-2026 11:00 AM,techsummary_82662.pdf (695.98 KB),"K.C.Boro, S.E.",Internal,,Chiranjiv Ray,10-Jun-2026 02:10 PM,finsummary_82662.pdf (713.04 KB),Technical,Tech_op,Chiranjiv Ray,29-May-2026 03:56 PM,,Bodoland Territorial Council||PWD-BTC,2026_BoTC_52245_1,SE(B)/21-22/Pt-IV/04/567_2,Package No.567_2,Finance,Fin_op,Devayani Boruah,04-Jun-2026 12:24 PM,,BOQ Comparative Chart,10-Jun-2026,"INR 4,800,000",180.0,Chiranjiv Ray,10-Jun-2026 02:16 PM,AOC_567_2.pdf (715.00 KB),1.0,303988.0,MANAS DAS,INR,"4,800,000",AOC,"90,000",Yes,fixed,,Nil,Nil,Package No.567_2,"Construction of boundary wall, Gate and supply of furniture in the residence of Executive Engineer PWD (Roads and Building).",Please refer Tender documents. ,NA ,"44,55,189",Civil Works - Building,NA ,Tender,180.0,180.0,Udalguri dist,784509.0,NA ,NA ,NA ,"O/o S.E., PWD, Kokrajhar Building Circle",No ,No,1.0,SBI Bank,Bodoland Territorial Council||PWD-BTC,SE(B)/21-22/Pt-IV/04/567_2,2026_BoTC_52245_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,900.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Details,"Superint. Engineer,PWD,Kokrajhar Building Circle","O/o S.E., PWD, Kokrajhar Building Circle, Kokrajhar",08-May-2026 04:00 PM,29-May-2026 01:30 PM,08-May-2026 04:00 PM,29-May-2026 01:00 PM,08-May-2026 04:00 PM ,21-May-2026 01:00 PM ,08-May-2026 04:00 PM,29-May-2026 01:00 PM,04-Jun-2026 11:00 AM,AOC
2.0,304010.0,MRINAL DAS,26-May-2026 11:26 PM,Rejected-AOC,Not awarded,10-Jun-2026 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Standard Bid Document,,,,,,,,,,,,AOC
3.0,304085.0,Sajal Sengupta,28-May-2026 10:48 AM,Rejected-Technical,Not qualified,03-Jun-2026 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid,,,,,,,,,,,,AOC
