Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Industries and Commerce Department||DNP Limited,DNPL/PC/2025/CRS/ASRTPIP/72/14,2025_ICD_47895_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Online,No,No,No,1.0,Corrigendum1,Date,,PROCUREMENT OF ASSORTED PIPES,PROCUREMENT OF ASSORTED PIPES,Please refer Tender documents. ,NA ,,Mechanical Engg Items,NA ,Tender,180.0,60.0,Duliajan,786602.0,Online/Duliajan ,1 No Borpather Madhuban Duliajan-786602 ,13-Oct-2025 02:00 PM ,Duliajan,No ,No,1.0,SBI Bank,08-Oct-2025 03:30 PM,06-Nov-2025 11:00 AM,08-Oct-2025 03:30 PM,05-Nov-2025 02:00 PM,08-Oct-2025 04:00 PM ,14-Oct-2025 04:00 PM ,17-Oct-2025 09:00 AM,05-Nov-2025 02:00 PM,15-Dec-2025 11:40 AM,Director and CEO,1 No Borpather Madhuban Duliajan-786602,0.0,No,fixed,,Nil,Nil,"2,000",Nil,Nil,Yes,1.0,Fee/PreQual/Technical,.pdf,Commercial Volume I of II,AOC,1,285457,AMARDEEP STEEL CENTRE LLP,05-Nov-2025 01:45 PM,Rejected-Technical,Not Qualified for PBO,15-Dec-2025 11:35 AM,Finance,Financialcs,Deepjyoti Sarma,23-Jun-2026 09:22 AM,finance_76312.pdf,BOQ Comparative Chart,Technical,Technical summary,Deepjyoti Sarma,15-Dec-2025 11:30 AM,technical_76312.pdf,Kalpajit Das,Internal,"BD Borpatragohain, M.Alam, D.Sarma, R.Rajkonwar, PP Bhattacharyya, U.Kashyap",Deepjyoti Sarma,23-Jun-2026 09:36 AM,finsummary_76312.pdf (915.47 KB),1.0,285054.0,RAHIL METAL,INR,"1,835,984.67",Kalpajit Das,Internal,"K.Das, B.D.Borpatragohain, R.Rajkonwar, M.Alam, D.Sarma, PP Bhattacharyya, U.Kashyap",Deepjyoti Sarma,15-Dec-2025 11:35 AM,15-Dec-2025 11:40 AM,techsummary_76312.pdf (714.11 KB),Industries and Commerce Department||DNP Limited,2025_ICD_47895_1,DNPL/PC/2025/CRS/ASRTPIP/72/14,PROCUREMENT OF ASSORTED PIPES,23-Jun-2026,"INR 1,835,984.67",60.0,Deepjyoti Sarma,23-Jun-2026 09:44 AM,AOC.pdf (1084.00 KB),AOC for Group B and C,AOC
,,,,,,,,,,,,,,2.0,Corrigendum2,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Volume II of II,AOC,2,285442,Evergreen Seamless Pipes and Tubes Pvt. Ltd.,05-Nov-2025 01:44 PM,Rejected-Finance,Disqualified L2 Bidder for Group B and C,23-Jun-2026 09:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid,AOC,3,284904,Nagardas Kanji Shah,27-Oct-2025 11:07 PM,Rejected-Technical,Not Qualified for PBO,15-Dec-2025 11:35 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,285054,RAHIL METAL,29-Oct-2025 01:37 PM,Accepted-AOC,Qualified L1 Bidder for Group B and C,23-Jun-2026 09:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,284988,RAJENDRA PIPING & FITTINGS,28-Oct-2025 05:58 PM,Rejected-Finance,Disqualified due to techno-commercial reason,23-Jun-2026 09:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
