Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.rar,"EMD , Tender Processing Fees, Technical Bid document","20,000",No,fixed,,Nil,Nil,1.0,SBI Bank,"3,000",Nil,Nil,No,1.0,Estimated Cost,BOQ,,Appointment of CA/CMA firms for internal audit PKG 1,Appointment of CA/CMA firms for conducting the internal audit for the financial year 202526 half yearly basis PKG1,Please refer Tender documents. ,NA ,"8,10,660",Miscellaneous Services,Internal Audit ,Tender,180.0,NA ,Assam,781001.0,Guwahati ,"O/o the CGM-Audit, APDCL, 4th Floor, Bijulee Bhawan, Guwahati-01 ",17-Jan-2026 03:00 PM ,Guwahati,No ,No,12-Jan-2026 02:05 PM,30-Jan-2026 11:00 AM,12-Jan-2026 02:05 PM,28-Jan-2026 02:00 PM,12-Jan-2026 05:00 PM ,17-Jan-2026 09:00 AM ,19-Jan-2026 05:00 PM,28-Jan-2026 02:00 PM,16-Feb-2026 02:00 PM,"CGM Audit,APDCL","O/o the CGM-Audit, APDCL, 4th Floor, Bijulee Bhawan, Guwahati-01",Assam Power Distribution Company Ltd||CGM(Audit) - APDCL,CGM(Audit)/IA/APDCL/2023/05/P1,2026_APDCL_50178_1,Yes,Open Tender,Lump-sum,Services,2.0,No,No,Online,No,No,No,AOC,"CGM, Audit, APDCL",Internal,,Kanak Chandra Mazumdar,16-Feb-2026 01:18 PM,16-Feb-2026 02:00 PM,techsummary_79937.pdf (477.19 KB),Assam Power Distribution Company Ltd||CGM(Audit) - APDCL,2026_APDCL_50178_1,CGM(Audit)/IA/APDCL/2023/05/P1,Appointment of CA/CMA firms for internal audit PKG 1,1.0,294853.0,M BORAR AND CO,INR,"746,050",Technical,Bids are opened on 30.01.2026.,Kanak Chandra Mazumdar,30-Jan-2026 11:35 AM,,1,295481,ASIJA & ASSOCIATES LLP,28-Jan-2026 01:35 PM,Rejected-Technical,"Nonresponsive as per clause 3.2 , 3.3",16-Feb-2026 01:18 PM,Finance,The financial bid is opened.,Jubi Jain,16-Feb-2026 02:23 PM,,BOQ Comparative Chart,27-Feb-2026,"INR 746,050",97.0,Jubi Jain,10-Jun-2026 01:14 PM,LOA1.pdf (1638.00 KB),"CGM, Audit,APDCL",Internal,,Jubi Jain,19-Feb-2026 02:42 PM,finsummary_79937.pdf (426.74 KB),AOC
2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,2.0,Corrigendum,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,294554,BANDYOPADHYAYA BHAUMIK AND CO,27-Jan-2026 06:06 PM,Rejected-Technical,"Nonresponsive as per clause 3.2 , 3.3",16-Feb-2026 01:18 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,294514,BISWAS DASGUPTA DATTA AND ROY,27-Jan-2026 03:57 PM,Rejected-Finance,Not H1,19-Feb-2026 02:42 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,295379,BURMAN SINGH AND ASSOCIATES,28-Jan-2026 12:11 PM,Rejected-Finance,Not H1,19-Feb-2026 02:42 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,294827,DIWAN KUNWARIYA AND CO,28-Jan-2026 01:42 PM,Rejected-Technical,"Nonresponsive as per clause 3.2 ,3.3",16-Feb-2026 01:18 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,294985,D N DOKANIA & ASSOCIATES,27-Jan-2026 07:51 PM,Rejected-Finance,Not H1,19-Feb-2026 02:42 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,295174,Hari Singh and Associates,28-Jan-2026 12:35 PM,Rejected-Finance,Not H1,19-Feb-2026 02:42 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,294853,M BORAR AND CO,25-Jan-2026 04:59 PM,Accepted-AOC,H1 bidder,10-Jun-2026 01:14 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,295213,M/s J N Gupta and Co,28-Jan-2026 01:09 PM,Rejected-Technical,"Nonresponsive as per clause 3.2 , 3.3",16-Feb-2026 01:18 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,295496,OP TOTLA & CO.,28-Jan-2026 12:49 PM,Rejected-Technical,"Nonresponsive as per clause 3.2 , 3.3",16-Feb-2026 01:18 PM,,,,,,,,,,,,,,,,,,,AOC
