Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Welfare of Plain Tribes and Backward Classes||Directorate of Welfare of Scheduled Caste||Assam State Development Corporation for SC,2026_WPTBC_52056_1,SCDCTECHHOJAI,Construction of SC Girls Hostel at Hojai Girls College Hojai,1.0,302119.0,NIRU ENTERPRISE,INR,"34,999,500","CE,ASDC for SC Ltd",Internal,,BRAJARAJ BHATTACHARJEE,08-May-2026 04:51 PM,08-May-2026 04:55 PM,techsummary_82446.pdf (97.96 KB),"CE, ASDC for SC Ltd",Internal,,BRAJARAJ BHATTACHARJEE,26-Jun-2026 04:47 PM,finsummary_82446.pdf (564.48 KB),26-Jun-2026,"INR 34,999,500",720.0,BRAJARAJ BHATTACHARJEE,26-Jun-2026 04:49 PM,WOGirlshostelHojai.pdf (847.00 KB),Finance,FINANCIAL BID HAS BEEN OPENED,Rahul Das,08-May-2026 05:02 PM,,BOQ Comparative Chart,1.0,302119.0,NIRU ENTERPRISE,23-Mar-2026 12:55 PM,Accepted-AOC,Lowest Bidder,26-Jun-2026 04:49 PM,Technical,ALL BIDS ARE OPENED,BRAJARAJ BHATTACHARJEE,08-May-2026 04:14 PM,,AOC,"3,500",Nil,Nil,No,19-Mar-2026 09:00 AM,23-Mar-2026 02:00 PM,19-Mar-2026 09:00 AM,23-Mar-2026 02:00 PM,NA ,NA ,19-Mar-2026 09:00 AM,23-Mar-2026 02:00 PM,08-May-2026 04:55 PM,1.0,SBI Bank,"MD, ASDC FOR SC LTD","Sorumotoria,Dispur,GHY-06",Construction of SC Girls Hostel at Hojai Girls College Hojai,Construction of SC Girls Hostel at Hojai Girls College Hojai,Please refer Tender documents. ,NA ,"3,50,00,000",Civil Works,NA ,Tender,180.0,NA ,"DISPUR, GHY-06",781006.0,NA ,NA ,NA ,"O/O THE MD, ASDC FOR SC LTD, DISPUR, GHY-06",No ,No,Welfare of Plain Tribes and Backward Classes||Directorate of Welfare of Scheduled Caste||Assam State Development Corporation for SC,SCDCTECHHOJAI,2026_WPTBC_52056_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,BID DOCUMENT,"7,00,000",Yes,percentage,2.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,302112.0,North East Infra Sol,23-Mar-2026 12:50 PM,Rejected-AOC,2nd Lowest Bidder,26-Jun-2026 04:49 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PRE QUALIFICATION DOCUMENT,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC
