Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Executive Engineer (TC),Internal,,Rajat Kamal Kakati,20-May-2026 11:49 AM,finsummary_80372.pdf (672.18 KB),Finance,Financial Evaluation under process,Amarjyoti Deka,13-Mar-2026 01:10 PM,,BOQ Comparative Chart,1.0,297955.0,Deraj Saikia,16-Feb-2026 09:12 AM,Rejected-AOC,rejected,04-Jun-2026 02:13 PM,02-Jun-2026,"INR 7,776,087",180.0,Rajat Kamal Kakati,04-Jun-2026 02:13 PM,FormalWO.pdf (1051.00 KB),Technical,Technical evaluation is in under process,Amarjyoti Deka,16-Feb-2026 02:24 PM,,Executive Engineer (TC),Internal,,Rajat Kamal Kakati,13-Mar-2026 12:38 PM,13-Mar-2026 12:55 PM,techsummary_80372.pdf (479.25 KB),Irrigation Department||Chief Engineer(Minor Irrigation)-Irrigation Dept||Kamrup Circle,2026_ID_50492_1,SEKCI/NIT-1/2024-25/54 Date 22/01/2026,Solar MDTW (3 Pts) at PALASBARI LAC under SOPD-G for the year 2025-26,1.0,297927.0,Rubul Deka (JV),INR,"5,184,058",AOC,24-Jan-2026 06:00 PM,16-Feb-2026 01:00 PM,24-Jan-2026 06:00 PM,16-Feb-2026 12:00 PM,NA ,NA ,24-Jan-2026 06:55 PM,16-Feb-2026 12:00 PM,13-Mar-2026 12:55 PM,1.0,Fee/PreQual/Technical,.pdf,BID DOCUMENT,Solar MDTW (3 Pts) at PALASBARI LAC under SOPD-G for the year 2025-26,Solar MDTW (3 Pts) at PALASBARI LAC under SOPD-G for the year 2025-26,Please refer Tender documents. ,NA ,"86,40,188",Civil Works,NA ,Tender,180.0,NA ,PALASBARI,781125.0,NA ,NA ,NA ,"O/o The Superintending Engineer, Kamrup Circle, Ir",No ,No,Irrigation Department||Chief Engineer(Minor Irrigation)-Irrigation Dept||Kamrup Circle,SEKCI/NIT-1/2024-25/54 Date 22/01/2026,2026_ID_50492_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,800",Nil,Nil,Yes,1.0,SBI Bank,"Superintending Engineer, Kamrup Circle, Ir","O/o The Superintending Engineer, Kamrup Circle, Irrigation, Rangia","1,72,804",Yes,percentage,2.0%,Nil,Nil,AOC
,,,,,,,,,,,,2.0,296714.0,J N ASSOCIATES JV,12-Feb-2026 05:50 PM,Accepted-AOC,accpted,04-Jun-2026 02:13 PM,,,,,,,,,,,,,,,,,,,,,,,2.0,296714.0,J N ASSOCIATES JV,INR,"2,592,029",AOC,,,,,,,,,,,,.pdf,COST OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,3.0,297778.0,M/S. M.P. AGARWALLA,14-Feb-2026 06:28 PM,Rejected-AOC,rejected,04-Jun-2026 02:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,QUALIFICATION DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4.0,297927.0,Rubul Deka (JV),16-Feb-2026 11:57 AM,Accepted-AOC,accepted,04-Jun-2026 02:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,5.0,297933.0,SD Enterprise,16-Feb-2026 11:45 AM,Rejected-AOC,rejected,04-Jun-2026 02:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
