EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"2,94,531",Yes,percentage,2.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,SBD with Seal and Sign,BALANCE WORK FOR CONSTRUCTION OF ACADEMIC BLOCK FOR GEOLOGY DEPARTMENT,"Civil, Electrical, Sanitary and Fire Fighting Works.",Please refer Tender documents.  ,NA ,"1,47,26,555",Civil Works - Building,NA ,Tender,180.0,30.0,COTTON UNIVERSITY,781001.0,NA ,NA ,NA ,"O/o Registrar, Cotton University",No ,No,"3,000",Nil,Nil,Yes,06-Feb-2026 04:00 PM,13-Feb-2026 03:00 PM,06-Feb-2026 05:00 PM,13-Feb-2026 02:00 PM,NA ,NA ,07-Feb-2026 03:00 PM,13-Feb-2026 02:00 PM,17-Feb-2026 04:30 PM,REGISTRAR,ADMINISTRATIVE BUILDING COTTON UNIVERSITY,Cotton University,CU/EC/2026/166/1531-36,2026_CU_50825_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,AOC,Cotton University,2026_CU_50825_1,CU/EC/2026/166/1531-36,BALANCE WORK FOR CONSTRUCTION OF ACADEMIC BLOCK FOR GEOLOGY DEPARTMENT,1.0,297569.0,Kamal Singh Dugar,INR,"13,005,496",REGISTRAR,Internal,FINANCE OFFICER EXECUTIVE ENGINEER JUNIOR ENGINEER CIVIL JUNIOR ENGINEER ELECTRICAL STORE OFFICER SYSTEM MANAGER CONSULTANT ENGINEER CIVIL CONSULTANT ENGINEER ELECTRICAL,Rajib Lochan Sarmah,17-Feb-2026 04:20 PM,17-Feb-2026 04:30 PM,techsummary_80932.pdf (934.45 KB),02-Jun-2026,"INR 13,005,496",30.0,Biswaraj Sen,02-Jun-2026 12:45 PM,AOC.PDF (547.00 KB),"Issue of Notice to Proceed with the Work Balance Work for Construction of Academic Block for Geology Department of Cotton University, Panbazar, Guwahati -781 001.",Technical,TENDER OPENED IN PRESENCE OF THE COMITTEE MEMBERS AND ADMITTED FOR EVALUATION,Rajib Lochan Sarmah,17-Feb-2026 03:56 PM,technical_80932.pdf,RAJIB LOCHAN SARMAH,Internal,RAJIB LOCHAN SARMA ARUP JYOTI GOSWAMI DEBRABATA HAZARIKA AKSHAY CHARAN CHOUDHURY,Biswaraj Sen,02-Jun-2026 12:36 PM,finsummary_80932.pdf (444.62 KB),1,297622,Harunur Rashid,13-Feb-2026 12:04 PM,Rejected-Finance,AS PER CS,02-Jun-2026 12:36 PM,Finance,ADMITTED FOR FINANCIAL EVALUATION,Biswaraj Sen,02-Jun-2026 12:25 PM,,BOQ Comparative Chart,AOC
,,,,,,,,.pdf,Technical Qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,297569,Kamal Singh Dugar,13-Feb-2026 11:44 AM,Accepted-AOC,L1 AS PER CS,02-Jun-2026 12:45 PM,,,,,,,AOC
,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,297581,M/s Maa Construction,13-Feb-2026 01:15 PM,Rejected-Finance,AS PER CS,02-Jun-2026 12:36 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,297626,OK Enterprise,13-Feb-2026 01:37 PM,Rejected-Finance,AS PER CS,02-Jun-2026 12:36 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,297633,SURAJIT BORAH,13-Feb-2026 01:30 PM,Rejected-Finance,AS PER CS,02-Jun-2026 12:36 PM,,,,,,,AOC
