Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Health and Family Welfare Department||Assam Medical Services Corporation Limited,2026_HFWD_52587_1,AMSC-IT0PROC/18/2026-ITLOG,"PROCUREMENT OF INDELIBLE INK POLIO MARKER PEN, CHALK PENCILS, VIAL OPENER AND ZIPPER BAG",SFC,Internal,As per MoM.,Medini Mohan Saikia,29-Jun-2026 11:16 AM,finsummary_83075.pdf (1067.46 KB),Technical,As per MoM,Siddhartha Bahadur Singh,11-Jun-2026 11:09 PM,,Finance,As per MoM.,Medini Mohan Saikia,29-Jun-2026 11:03 AM,,BOQ Comparative Chart,29-Jun-2026,"INR 4,272,450",10.0,Medini Mohan Saikia,29-Jun-2026 12:07 PM,PO.pdf (323.00 KB),As per MoM.,1,304844,TRIUMPH,INR,"1,719,600",SFC,Internal,As per MoM,Siddhartha Bahadur Singh,11-Jun-2026 11:22 PM,12-Jun-2026 09:00 AM,techsummary_83075.pdf (1969.25 KB),1,304843,ELECTRO FRIGO,08-Jun-2026 10:52 PM,Accepted-AOC,As per MoM.,29-Jun-2026 12:07 PM,AOC,"2,000",Nil,Nil,No,"76,940",Yes,fixed,,Nil,Nil,1.0,SBI Bank,"PROCUREMENT OF INDELIBLE INK POLIO MARKER PEN, CHALK PENCILS, VIAL OPENER AND ZIPPER BAG","PROCUREMENT OF INDELIBLE INK POLIO MARKER PEN, CHALK PENCILS, VIAL OPENER AND ZIPPER BAG",Please refer Tender documents. ,NA ,"38,00,000",Stationery,NA ,Tender,180.0,7.0,AMSCL,781026.0,AMSCL ,"Narengi, Guwahati ",05-Jun-2026 04:00 PM ,AMSCL,No ,No,1.0,Fee/PreQual/Technical,.pdf,"PROCUREMENT OF INDELIBLE INK POLIO MARKER PEN, CHALK PENCILS, VIAL OPENER AND ZIPPER BAG","MD, AMSCL",AMSCL,02-Jun-2026 06:00 PM,09-Jun-2026 04:30 PM,02-Jun-2026 06:30 PM,09-Jun-2026 02:00 PM,NA ,NA ,06-Jun-2026 10:00 AM,09-Jun-2026 02:00 PM,12-Jun-2026 09:00 AM,1.0,Corrigendum,Technical Bid,,Health and Family Welfare Department||Assam Medical Services Corporation Limited,AMSC-IT0PROC/18/2026-ITLOG,2026_HFWD_52587_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,304843,ELECTRO FRIGO,INR,"2,266,350",,,,,,,,2,304841,Jonali Enterprise,08-Jun-2026 11:56 PM,Accepted-AOC,As per MoM.,29-Jun-2026 12:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,304841,Jonali Enterprise,INR,"286,500",,,,,,,,3,304844,TRIUMPH,08-Jun-2026 10:18 PM,Accepted-AOC,As per MoM.,29-Jun-2026 12:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
