Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
15-Feb-2024 10:00 AM,29-Feb-2024 11:30 AM,15-Feb-2024 10:00 AM,28-Feb-2024 05:00 PM,17-Feb-2024 10:00 AM ,19-Feb-2024 05:00 PM ,23-Feb-2024 10:00 AM,28-Feb-2024 05:00 PM,Chief Executive Officer,"OFFICE OF THE CHIEF EXECUTIVE OFFICER ATAL AMRIT ABHIYAN SOCIETY, ASSAM Nayantara Super Market Complex, Six Mile, G.S. Road, Guwahati-22","30,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,Technical documents,Health and Family Welfare Department||Atal Amrit Abhiyan Society,AAAS/2017-18/09/Pt-l/3146,2024_HFWD_36273_1,Yes,Open Tender,EOI,Services,1.0,No,No,Online,No,No,No,1.0,SBI Bank,"1,000",Nil,Nil,No,Empanelment of Agencies for Comprehensive Communication Management and Outreach Activities under Atal Amrit Abhiyan Society,Empanelment of Agencies for Comprehensive Communication Management and Outreach Activities under Atal Amrit Abhiyan Society,Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Empanelment,180.0,NA ,Guwahati,781022.0,"O/O THE CEO,AAAS,ASSAM,GHY-22  ","OFFICE OF THE CHIEF EXECUTIVE OFFICER ATAL AMRIT ABHIYAN SOCIETY, ASSAM Nayantara Super Market Complex, Six Mile, G.S. Road, Guwahati-22  ",20-Feb-2024 10:30 AM ,"O/O THE CEO,AAAS,ASSAM,GHY-22",No ,No,AOC,1.0,227739.0,Prodigy Communications And Marketing Pvt. Ltd.,INR,0.0,20-Jun-2026,INR 0,730.0,Bishnu Chakraborty,20-Jun-2026 03:38 PM,work_order_new.pdf (4159.00 KB),Bishnu Chakraborty,Internal,Jitendra gogoi Nilutpal Borah Rathin Paul Partha pratim Mahanata Sweta Thakuria,Bishnu Chakraborty,20-Jun-2026 03:28 PM,finsummary_59394.pdf (1052.05 KB),Health and Family Welfare Department||Atal Amrit Abhiyan Society,2024_HFWD_36273_1,AAAS/2017-18/09/Pt-l/3146,Empanelment of Agencies for Comprehensive Communication Management and Outreach Activities under Atal Amrit Abhiyan Society,1,227869,ADVERTISING AGENCY,28-Feb-2024 01:20 PM,Rejected-Technical,Disqualified based on technical evaluation,21-Jan-2025 04:20 PM,Bishnu Chakraborty,Internal,"Sweta Thankuria,Partha Pratim Mahanta,Rathin Paul,Nilutpal Baruah,Jitendra Gogoi",Bishnu Chakraborty,21-Jan-2025 04:20 PM,techsummary_59394.pdf (1050.59 KB),Finance,Technical bid has been opened,Bishnu Chakraborty,15-Jul-2024 11:53 AM,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Bid document downloaded from the portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,227719.0,Insight Brandcom Pvt Ltd,INR,0.0,,,,,,,,,,,,,,,,,2,227772,APS Advertising Private Limited,28-Feb-2024 02:48 PM,Rejected-Technical,Disqualified based on technical evaluation,21-Jan-2025 04:20 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,227305.0,Priya Communication,INR,0.0,,,,,,,,,,,,,,,,,3,227231,Exclusive Advertising Private Limited,24-Feb-2024 03:20 PM,Accepted-AOC,Agency Empanelment,20-Jun-2026 03:39 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,227231.0,Exclusive Advertising Private Limited,INR,0.0,,,,,,,,,,,,,,,,,4,227719,Insight Brandcom Pvt Ltd,28-Feb-2024 12:21 PM,Accepted-AOC,Agency Empanelment,20-Jun-2026 03:39 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,227956,Maa Kamakhya art,28-Feb-2024 04:31 PM,Rejected-Technical,Disqualified based on technical evaluation,21-Jan-2025 04:20 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,227861,NOVO COMPUTING,28-Feb-2024 01:52 PM,Rejected-Technical,Disqualified based on technical evaluation,21-Jan-2025 04:20 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,227562,OUTREACH ADVERTISING PRIVATE LIMITED,28-Feb-2024 03:38 PM,Rejected-Technical,Disqualified based on technical evaluation,21-Jan-2025 04:20 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,227479,PRADIP ADVERTISING & CO.,27-Feb-2024 09:43 PM,Rejected-Technical,Disqualified based on technical evaluation,21-Jan-2025 04:20 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,227305,Priya Communication,28-Feb-2024 02:30 PM,Accepted-AOC,Agency Empanelment,20-Jun-2026 03:39 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,227739,Prodigy Communications And Marketing Pvt. Ltd.,28-Feb-2024 01:34 PM,Accepted-AOC,Agency Empanelment,20-Jun-2026 03:39 PM,,,,,,,,,,,,AOC
