Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"10,000",Nil,Nil,No,Animal Husbandry and Veterinary Department||Directorate of A.H. and Veterinary,CVS/P-6/Tender/2025-26/78,2025_AHVD_45433_1,Yes,Open Tender,Item Wise,Goods,2.0,No,No,Online,No,No,No,09-Jul-2025 11:00 AM,31-Jul-2025 11:00 AM,09-Jul-2025 01:00 PM,30-Jul-2025 03:00 PM,NA ,NA ,23-Jul-2025 11:00 AM,30-Jul-2025 03:00 PM,22-Sep-2025 01:00 PM,1.0,Fee/PreQual/Technical,.pdf,Technical documents,"Director, AHVD","Office of the Director, AHVD, Assam, Chenikuthi, Guwahati-3","65,000",Yes,fixed,,Nil,Nil,1.0,BOQ Corrigendum,BOQ,,1.0,SBI Bank,Procurement of veterinary medicines etc.,Procurement of veterinary medicines etc.,Please refer Tender documents. ,NA ,,Medicines,NA ,Tender,180.0,NA ,"Chenikuthi, Guwahati, Assam",781003.0,Offline ,"Office of the Assistant Director, CVS, Chenikuthi, Guwahati-3 ",14-Jul-2025 01:00 PM ,Online,No ,No,AOC,03-Jun-2026,"INR 47,499,985",180.0,Makhan Barman,03-Jun-2026 04:48 PM,AoC.pdf (4498.00 KB),Finance,Financial bid has been opened,Dandeswar Deka,22-Sep-2025 01:29 PM,,BOQ Comparative Chart,1.0,274076.0,M/S. SISIR PHARMACEUTICALS,INR,"630,240",Animal Husbandry and Veterinary Department||Directorate of A.H. and Veterinary,2025_AHVD_45433_1,CVS/P-6/Tender/2025-26/78,Procurement of veterinary medicines etc.,Technical,Technical bid has been opened,Dandeswar Deka,31-Jul-2025 11:27 AM,,"Director, Veterinary",Internal,,Makhan Barman,03-Jun-2026 04:37 PM,finsummary_71896.pdf (5072.89 KB),"Additional Director, Veterinary",Internal,,NARESWAR THAKURIA,22-Sep-2025 12:34 PM,22-Sep-2025 01:00 PM,techsummary_71896.pdf (3827.56 KB),1,273378,ASSAM MANUFACTURER REPACKING & DISTRIBUTORS,30-Jul-2025 12:56 PM,Rejected-AOC,Not Awarded,03-Jun-2026 04:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid documents to be uploaded in the portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2.0,274057.0,JAMES & COMPANY,INR,"495,000",,,,,,,,,,,,,,,,,,,,,,,2,273898,BIO-CARE ASSOCIATES,30-Jul-2025 01:07 PM,Rejected-AOC,Not Awarded,03-Jun-2026 04:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3.0,274056.0,INDO CONS AGE SERVICES,INR,"7,988,215",,,,,,,,,,,,,,,,,,,,,,,3,274121,dutch formulations,30-Jul-2025 02:52 PM,Rejected-Technical,Technically rejected,22-Sep-2025 12:34 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4.0,274050.0,NARAYANI TRADING COMPANY,INR,"7,490,350",,,,,,,,,,,,,,,,,,,,,,,4,274056,INDO CONS AGE SERVICES,30-Jul-2025 01:36 PM,Accepted-AOC,Awarded,03-Jun-2026 04:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5.0,274022.0,M/s Town Drugs,INR,"2,261,900",,,,,,,,,,,,,,,,,,,,,,,5,272876,INDOMA MARINE PVT. LTD.,30-Jul-2025 02:29 PM,Accepted-AOC,Awarded,03-Jun-2026 04:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6.0,273941.0,M/s Guwahati Pharma Vet Agency,INR,"8,079,550",,,,,,,,,,,,,,,,,,,,,,,6,273144,INDO MARKETING SERVICES,30-Jul-2025 02:32 PM,Accepted-AOC,Awarded,03-Jun-2026 04:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7.0,273677.0,SDB AGROCHEM,INR,"1,200,000",,,,,,,,,,,,,,,,,,,,,,,7,274057,JAMES & COMPANY,30-Jul-2025 11:40 AM,Accepted-AOC,Awarded,03-Jun-2026 04:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8.0,273372.0,M/s Harbans Pharma and Surgicals,INR,"3,192,700",,,,,,,,,,,,,,,,,,,,,,,8,273262,KAY & KAY TRADING CO.,29-Jul-2025 01:31 PM,Accepted-AOC,Awarded,03-Jun-2026 04:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9.0,273280.0,M/S RASHMITA TRADING,INR,"1,419,400",,,,,,,,,,,,,,,,,,,,,,,9,274005,MAINDEOR ENTERPRISE,30-Jul-2025 02:43 PM,Rejected-AOC,Not Awarded,03-Jun-2026 04:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10.0,273262.0,KAY & KAY TRADING CO.,INR,"3,891,450",,,,,,,,,,,,,,,,,,,,,,,10,273941,M/s Guwahati Pharma Vet Agency,30-Jul-2025 12:22 PM,Accepted-AOC,Awarded,03-Jun-2026 04:49 PM,AOC
