Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Welfare of Plain Tribes and Backward Classes||Director - WPT and BC||Assam Plains Tribes Development Corporation Ltd.,PTDC/Engg/2026-27/526,2026_WPTBC_52252_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Construction of Boys Hostel at Govt. Model College, Kaziranga in Golaghat District under Infrastructure Development in ITDP and outside ITDP areas of Assam during the year 2025-26.","Construction of Boys Hostel at Govt. Model College, Kaziranga in Golaghat District under Infrastructure Development in ITDP and outside ITDP areas of Assam during the year 2025-26.",Please refer to tender document ,NA ,"1,00,00,000",Civil Works,NA ,Tender,180.0,360.0,Kaziranga Golaghat,785609.0,"Managing Director, APTDC Ltd., Ganeshguri, Ghy, 5 ","Office of the Managing Director, APTDC Ltd., Ganeshguri, Ghy, 5 ",12-May-2026 11:00 AM ,"Managing Director, APTDC Ltd., Ganeshguri, Guwahat",No ,No,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification,1.0,SBI Bank,"2,00,000",Yes,percentage,2.0%,Nil,Nil,"2,000",Nil,Nil,No,Managing Director,"Office of the Managing Director, APTDC Ltd., Ganeshguri, Ghy, 5",11-May-2026 11:30 AM,23-May-2026 03:00 PM,11-May-2026 02:00 PM,23-May-2026 02:00 PM,NA ,NA ,12-May-2026 02:00 PM,23-May-2026 02:00 PM,26-May-2026 04:15 PM,AOC,Managing Director,Internal,,Jeena Gabison Ahmed,26-May-2026 04:10 PM,26-May-2026 04:15 PM,techsummary_82670.pdf (937.89 KB),1.0,303972.0,PRANJAL DUTTA KURI,INR,"9,999,000",Welfare of Plain Tribes and Backward Classes||Director - WPT and BC||Assam Plains Tribes Development Corporation Ltd.,2026_WPTBC_52252_1,PTDC/Engg/2026-27/526,"Construction of Boys Hostel at Govt. Model College, Kaziranga in Golaghat District under Infrastructure Development in ITDP and outside ITDP areas of Assam during the year 2025-26.",Technical,Technical bid has been opened,Jeena Gabison Ahmed,25-May-2026 11:47 AM,,1.0,303974.0,NH TECHNOCRATS,22-May-2026 06:01 PM,Rejected-AOC,Not Awarded,29-Jun-2026 04:32 PM,Finance,Financial bid has been opened.,Jeena Gabison Ahmed,26-May-2026 04:32 PM,,BOQ Comparative Chart,Managing Director,Internal,,Jeena Gabison Ahmed,29-Jun-2026 04:27 PM,finsummary_82670.pdf (937.89 KB),29-Jun-2026,"INR 9,999,000",360.0,Jeena Gabison Ahmed,29-Jun-2026 04:32 PM,Aockaziranga.pdf (1104.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,303972.0,PRANJAL DUTTA KURI,22-May-2026 05:35 PM,Accepted-AOC,Awarded,29-Jun-2026 04:32 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
