,Head Office,TREASURY NAME,TREASURY CODE,DDO NAME
0,Nalbari,Nalbari,NLB/GAD/002,"S.D.O. , NALBARI (SADAR)"
1,Jorhat,Jorhat,JOR/EE/004,BEEO N/W BLOCK
2,Sivasagar,Sivasagar,SVS/JUD/001,"DISTRICT  & SESSION JUDGE,SIVASAGAR"
3,Sivasagar,Sivasagar,SVS/ARC/001,"DIST. ARCHOLOGY DEPTT., SIVASAGAR"
4,Jorhat,Jorhat,JOR/EE/006,BEEO JORHAT BLOCK
5,Hailakandi,Hailakandi,HKD/EE/003,"BEEO, HAILAKANDI"
6,Hailakandi,Hailakandi,HKD/HE/016,PRIN. CHALMERS H.S. SCHOOL
7,Silchar,Cachar,CAC/FC/004,EX. ENGR. MECHANICAL (WT) DIV. SILCHAR
8,Nagaon,Nagaon,NAG/LRS/006,"CIRCLE OFFICER,RUPAHI"
9,Jorhat,Jorhat,JOR/SWD/001,DIST.SOCIAL WELFARE OFFICER
10,North Lakhimpur,Lakhimpur,LKM/SE/043,HEAD MASTER LOHIT KHABOLI HIGH SCHOOL
11,Nagaon,Nagaon,NAG/EE/004,"B  E   E  O,   KATHIATOLI"
12,Kokrajarh,Kokrajhar,KKJ/AAT/001,"TREASURY OFFICER , KOKRAJHAR"
13,North Lakhimpur,Dhakuwakhana,DKK/SE/035,H.M. BORDOIBAM  HIGH SCHOOL
14,Sivasagar,Sonari,SNR/SE/002,PRIN. MATHURAPUR H S SCHOOL
15,Dibrugarh,Dibrugarh,DIB/SE/022,PRIN. MDK GIRLS COLLEGE DIBRUGARH
16,Jorhat,Jorhat,JOR/SWD/011,"CDPO,ICDS CELENGHAT,JORHAT"
17,Golaghat,Golaghat,GT/EE/003,"BEEO, EAST BLOCK, GOLAGHAT"
18,Dibrugarh,Naharkatia,NHK/HE/035,THE PRINCIPAL NAMRUP COLLEGE
19,Jorhat,Titabar,TIT/SE/042,"HM KUNDAR GAON H.S. , P.O.-JALIKANIBARI"
20,Kokrajarh,Kokrajhar,KKJ/SWD/003,"C.D.P.O., KOKRAJHAR I.C.D.S. PROJECT,KOKRAJHAR"
21,Amingaon,"Kamrup,Amingaon",AKM/SE/371,HEAD MASTER.UPPERDANI HIGH SCHOOL
22,Tinsukia,Tinsukia,TSK/PHE/001,"EX. ENGR. PHE, TINSUKIA DIV."
23,Jorhat,Titabar,TIT/EE/002,"DY. INSPECTOR OF SCHOOLS, JORHAT"
24,Nagaon,Hojai,HOJ/IGR/001,"SUB-REGISTER, HOJAI"
25,Nagaon,Kaliabor,KLB/EE/004,"DY. INSPECTOR OF SCHOOL, KALIABOR"
26,Sivasagar,Sonari,SNR/LRS/001,"CIRCLE OFFICER, SONARI"
27,Marigaon,Marigaon,MRG/HE/057,HEAD MASTER PRIYA NEOG H S
28,Nalbari,Nalbari,NLB/EE/005,"B.E.E.O., GHOGRAPAR"
29,Sivasagar,Sivasagar,SVS/SWD/001,"DIST. SOCIAL WELFARE OFFICER,SIVASAGAR"
30,Golaghat,Dergaon,DER/EE/003,"BEEO, CENTRAL BLOCK, DHEKIAL"
31,Jorhat,Titabar,TIT/CA/001,"CULTURAL CENTRE, TITABAR"
32,Tinsukia,Tinsukia,TSK/PRD/001,"B.D.O., SAIKHOWA DEV. BLOCK"
33,Tinsukia,Tinsukia,TSK/HE/004,PRIN. TINSUKIA BENGALI GIRLS H S SCHOOL
34,Marigaon,Marigaon,MRG/HT/001,"SUPDT. OF HANDLOOM & TEXTILES, MORIGAON"
35,North Lakhimpur,Lakhimpur,LKM/FIS/001,"DIST. FISHERY DEV.OFFICER,LAKHIMPUR"
36,Nalbari,Nalbari,NLB/PRD/009,B.D.O. MADHUPUR
37,Guwahati,New-Guwahati,NGT/PWB/003,SUPDT.ENGINEER  PWD BUILDING CIRCLE -II
38,Tezpur,Gohpur,GAH/SE/029,"HEAD MASTER, DUBIA GIRLS HIGH SCHOOL, DUBIA"
39,Jorhat,Jorhat,JOR/HE/086,H.M.MOHBONDHA TEA GARDEN H.S
