class,age,male,female
0,0 to 1,382.49,356.13
1,1 to 5,1476.55,1372.41
10,10 to 15,2082.65,1944.56
15,15 to 20,2099.85,1961.78
20,20 to 25,1914.94,1914.19
25,25 to 30,2050.01,2018.81
30,30 to 35,1869.96,1800.96
35,35 to 40,1821.24,1680.64
40,40 to 45,1476.47,1361.07
45,45 to 50,1319.22,1193.32
5,5 to 10,1953.54,1811.27
50,50 to 55,1028.7,986.92
55,55 to 60,844.03,770.62
60,60 to 65,604.4,639.74
65,65 to 70,449.44,473.16
70,70 to 75,280.54,312.12
75,75 to 80,180.43,187.61
80,80 and over,147.6,180.56
