class,age,male,female
0,0 to 1,1963.08,1814.93
1,1 to 5,7578.2,6994.15
10,10 to 15,10330.57,9445.7
15,15 to 20,10444.04,10085.64
20,20 to 25,10400.93,10646.58
25,25 to 30,11124.39,10815.97
30,30 to 35,10614.39,9835.81
35,35 to 40,10271.31,9472.44
40,40 to 45,8700.25,7951.85
45,45 to 50,8299.72,7247.73
5,5 to 10,9714.2,8998.95
50,50 to 55,6447.8,5822.77
55,55 to 60,5242.08,4543.27
60,60 to 65,3831.78,3621.85
65,65 to 70,2790.04,2537.51
70,70 to 75,1713.93,1578.48
75,75 to 80,1127.54,943.41
80,80 and over,874.88,895.32
