class,age,male,female
0,0 to 1,1813.41,1672.42
1,1 to 5,7000.43,6444.97
10,10 to 15,8225.07,7610.12
15,15 to 20,8291.44,7930.68
20,20 to 25,8004.43,7712.69
25,25 to 30,7789,7488.63
30,30 to 35,7172.05,6793.35
35,35 to 40,6838.95,6330.4
40,40 to 45,5778.06,5340.31
45,45 to 50,5086.71,4716.8
5,5 to 10,8361.16,7695.31
50,50 to 55,4314.22,4124.36
55,55 to 60,3639.28,3050.49
60,60 to 65,2639.08,2474.42
65,65 to 70,1877.55,1750.14
70,70 to 75,1156.81,1183.17
75,75 to 80,744.72,736.89
80,80 and over,623.65,799.27
