Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Department of Water Resources-Externally Aided Project||Flood and River Erosion Management Agency of Assam||WRD- ADB Funded Tenders,555336/123,2025_WREAP_44201_1,Yes,Limited,Lump-sum,Services,1.0,No,No,Not Applicable,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Signed RFQ,01-May-2025 09:00 AM,23-May-2025 04:00 PM,01-May-2025 09:00 AM,23-May-2025 02:00 PM,01-May-2025 09:00 AM ,06-May-2025 05:00 PM ,14-May-2025 03:00 PM,23-May-2025 02:00 PM,0.0,No,fixed,,Nil,Nil,1.0,BoQ Corrigendum,BOQ,,0.0,Nil,Nil,No,"Chief Executive Officer,FREMAA","4th Floor, Assam Water Centre, Flood and River Erosion Management Agency of Assam",Conducting Side scan sonar surveys (Quality control for underwater works of geobags) for the four sub projects in selected reaches of the river Brahmaputra,Conducting Side scan sonar surveys (Quality control for underwater works of geobags) for the four sub projects in selected reaches of the river Brahmaputra,Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Tender,90.0,1095.0,Assam,781029.0,"Conference Hall, FREMAA ","4th Floor, Assam Water Centre, Flood and River Erosion Management Agency of Assam ",05-May-2025 03:00 PM ,"Conference Hall, FREMAA",No ,No,AOC,16-Jan-2026,"INR 2,790,700",1095.0,Diganta Sarma,16-Jan-2026 12:14 PM,ContractNCS11.pdf (1987.00 KB),Contract Amount is inclusive of taxes,1.0,268474.0,Kishur Konwar,INR,"2,790,700",1,268322,AM DATA LAB PRIVATE LIMITED,22-May-2025 06:09 PM,Rejected-Technical,Quoted amount is higher than lowest quoted substantially responsive bidder,04-Jul-2025 02:23 PM,Finance,Quotation Opening Summary,Diganta Sarma,03-Jul-2025 03:08 PM,finance_70460.pdf,BOQ Comparative Chart,"ACE-EAP Wing, WRD",Internal,,Diganta Sarma,16-Jan-2026 12:10 PM,finsummary_70460.pdf (3089.10 KB),Department of Water Resources-Externally Aided Project||Flood and River Erosion Management Agency of Assam||WRD- ADB Funded Tenders,2025_WREAP_44201_1,555336/123,Conducting Side scan sonar surveys (Quality control for underwater works of geobags) for the four sub projects in selected reaches of the river Brahmaputra,"ACE-EAP Wing, WRD",Internal,,Diganta Sarma,04-Jul-2025 02:23 PM,techsummary_70460.pdf (320.93 KB),AOC
,,,,,,,,,,,,,,,,.pdf,Quotation with supporting documents,,,,,,,,,,,,,,,2.0,Corrigendum-V,Date,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,268470,ARKITECHNO Consultants (India) Pvt. Ltd.,19-May-2025 01:43 PM,Rejected-Technical,Quoted amount is higher than lowest quoted substantially responsive bidder,04-Jul-2025 02:23 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,3.0,Corrigendum-II,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,268474,Kishur Konwar,18-May-2025 09:57 PM,Accepted-AOC,Lowest evaluated substantially responsive bidder,16-Jan-2026 12:15 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,268482,SOFTA GEOTECHNICAL PVT LTD,21-May-2025 01:26 PM,Rejected-Technical,Quoted amount is higher than lowest quoted substantially responsive bidder,04-Jul-2025 02:23 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
